NSC,CID,SMILES
3055,5351454,CN(C)C1=NC=NC2=C1N=CN2C3C(C(C(O3)CO)NC(=O)C(CC4=CC=C(C=C4)OC)N)O.Cl
3060,54611691,O[As]=O.[K+]
3061,4993,CCC1=C(C(=NC(=N1)N)N)C2=CC=C(C=C2)Cl
757306,4993,CCC1=C(C(=NC(=N1)N)N)C2=CC=C(C=C2)Cl
3062,29142,CCC1=C(C(=NC(=N1)N)N)C2=CC(=C(C=C2)Cl)Cl
3073,135444779,C1=CC(=CC=C1C(=O)NC(CCC(=O)O)C(=O)O)NCC2=CN=C3C(=N2)C(=O)NC(=N3)N
3074,9048,CC1(N=C(N=C(N1C2=CC=C(C=C2)Cl)N)N)C.Cl
3077,16207143,CC1(N=C(N=C(N1C2=CC(=C(C=C2)Cl)Cl)N)N)C.Cl
3080,16236702,CC1(N=C(N=C(N1C2=CC(=CC=C2)Cl)N)N)C.Cl
3081,24180954,CCCCCCC1N=C(N=C(N1C2=CC=C(C=C2)Cl)N)N.Cl
3082,24180955,CC1(N=C(N=C(N1C2=CC(=CC=C2)Br)N)N)C.Cl
3083,24180956,CCCCCCC1N=C(N=C(N1C2=CC(=CC=C2)Cl)N)N.Cl
3088,2708,C1=CC(=CC=C1CCCC(=O)O)N(CCCl)CCCl
3090,11057,CN(C)C1=CC=C(C=C1)C(=C2C=CC(=[N+](C)C)C=C2)C3=CC=C(C=C3)N(C)C.[Cl-]
757050,11057,CN(C)C1=CC=C(C=C1)C(=C2C=CC(=[N+](C)C)C=C2)C3=CC=C(C=C3)N(C)C.[Cl-]
3091,84671,CC[N+](C)(C)C1=CC=C(C=C1)C(=C2C=CC(=[N+](C)C)C=C2)C3=CC=C(C=C3)N(C)C.[Cl-].[Br-]
3094,23654,CN(C)N=NC1=CC=CC=C1
3262,94797,C1CN1C2=CC(=C(C=C2O)N3CC3)O
3265,5377682,C1=CC=C2C(=C1)C=CC(=N2)C=CC3=CC=C(C=C3)Cl
3284,110653,C[N+]1(CCCC1C2=CN=CC=C2)CC[N+]3(CCCC3C4=CN=CC=C4)C
3298,5354204,CC(=CC1=CC(=C(C=C1)O)OC)[N+](=O)[O-]
57759,5354204,CC(=CC1=CC(=C(C=C1)O)OC)[N+](=O)[O-]
3424,24180972,CC(CCCN(CCCl)CCCl)NC1=C2C=C(C=CC2=NC3=C1C=CC(=C3)Cl)OC.Cl
3531,2788,C1=CC2=C(C(=C(C=C2Cl)I)O)N=C1
759822,2788,C1=CC2=C(C(=C(C=C2Cl)I)O)N=C1
3618,220625,C1CCC(CC1)NC2CCC(CC2)NC3=C4C=CC(=CC4=NC=C3)Cl
3628,24185366,CCN(CC)C1=CC=C(C=C1)NC(C2=CC=CC=C2)C(=O)C3=CC=CC=C3.Cl
3799,6436750,C1=CC(=CC(=C1)[N+](=O)[O-])C=CC(=O)C=CC2=CC(=CC=C2)[N+](=O)[O-]
3808,11441,C1=CC(=C(C=C1[N+](=O)[O-])[N+](=O)[O-])Br
3840,407288,C1=C(SC(=C1)[Hg]Cl)Cl
3847,220712,CCC(=O)C1=CC(=C(S1)Br)[N+](=O)[O-]
3852,19103,C1=CC2=C(C=CC(=C2N=C1)O)N=O
3877,24181001,C1=CC=[N+](C=C1)C2C3=CC=CC=C3C(C4=CC=CC=C24)[N+]5=CC=CC=C5.[Br-]
3905,70848,C1=CC=NC(=C1)C2=NC(=CC=C2)C3=CC=CC=N3
36755,70848,C1=CC=NC(=C1)C2=NC(=CC=C2)C3=CC=CC=N3
3907,142766,C1=CC=C(C(=C1)C(=O)O)O.C1=CC2=C(C(=C1)O)N=CC=C2
3927,6870,CC(=O)NC1=C2C(=CSS2)N(C1=O)C
3941,5354235,CC(=CC1=CC(=C(C=C1)Cl)Cl)[N+](=O)[O-]
23863,5354235,CC(=CC1=CC(=C(C=C1)Cl)Cl)[N+](=O)[O-]
3970,1174,C1=CNC(=O)NC1=O
4045,17170,CN(C)C1=CC=C(C=C1)C(=N)C2=CC=C(C=C2)N(C)C.Cl
93737,17170,CN(C)C1=CC=C(C=C1)C(=N)C2=CC=C(C=C2)N(C)C.Cl
4060,220774,CC1CCC2(CCC3(C(=CCC4C3(CCC5C4(CCC(C5(C)C)O)C)C)C2C1C)C)C(=O)O
167406,220774,CC1CCC2(CCC3(C(=CCC4C3(CCC5C4(CCC(C5(C)C)O)C)C)C2C1C)C)C(=O)O
4112,7329,C1=CC(=C(C=C1Cl)SC2=C(C=CC(=C2)Cl)O)O
4114,72675,C1COCCN1.C1COCCN1C(=S)S
4170,4055,CC1=CC(=O)C2=CC=CC=C2C1=O
4184,5282363,C1=CC(=CC=C1C=CC2=CC=C(C=C2)O)O
4232,220828,C1=CC=C(C=C1)C(C(=O)C2=CC=CC=C2)NC3=CC=CC(=C3)C(=O)O
4236,668053,CN(C)C1=CC=C(C=C1)C=CC2=CC=NC3=CC=CC=C23
4238,5713121,C[N+]1=C(C=CC2=CC=CC=C21)C=CC3=CC=C(C=C3)N(C)C.[I-]
4239,12605846,C[N+]1=CC=C(C2=CC=CC=C21)C=CC3=CC=C(C=C3)N(C)C.[I-]
4265,73350,C1=CC2=C(C3=C(C=CC=N3)C=C2)N=C1.Cl
4272,72791,CC1=CC2=C(C3=C1C=CC=N3)N=CC=C2
4280,65237,CC1=NC2=C(C=C1)C=CC3=C2N=C(C=C3)C
4281,72792,CC1=C2C=CC3=C(C=CN=C3C2=NC=C1)C
4285,14161,C1=CC=C(C=C1)NC2=C(C(=O)C3=CC=CC=C3C2=O)Cl
4290,24181037,CCCCCC1=CC=[N+](C=C1)CC(=O)C2=CC=C(C=C2)[N+](=O)[O-].[Br-]
4291,4534,CC(CC1=CC(=C(C=C1)O)O)C(C)CC2=CC(=C(C=C2)O)O
4320,220861,CC1C(C(CC(O1)OC2CCC3(C4CCC5(C(CCC5(C4CCC3(C2)O)O)C6=CC(=O)OC6)C)C=O)OC)OC7C(C(C(C(O7)CO)O)O)O
4375,12947,CCN(CCCC(C)NC1=C2C=CC(=CC2=NC=C1)Cl)CCO.OS(=O)(=O)O
4378,24181064,CCN(CC)CC(C1=CC(=NC2=C1C=CC(=C2)Cl)C3=CC=C(C=C3)Cl)O.Cl
4432,6433371,CC1(C2=CC=CC=C2[N+](=C1C=CC3=CC=C(C=C3)N(C)CCCl)C)C.[Cl-]
4434,135436499,CC1(C2=CC=CC=C2[N+](=C1C=CC3=C(N(C4=CC=CC=C43)C)C5=CC=CC=C5)C)C
4483,23673459,C1=CC=[N+](C(=C1)S)[O-].[Na+]
4512,220946,C1=CC=C(C=C1)S(=O)(=O)CC(C#N)I
4518,220951,C1=CC(=C(C=C1C(=O)C2=CC(=C(C=C2)N)Br)Br)N
4582,54603154,C1=CC(=C(C=C1Br)C=CC(=O)C=CC2=C(C=CC(=C2)Br)O)O
