NSC,CID
20000,16698637
20200,8478
20207,210229
20256,1177
20514,227994
20527,14839
20534,3063063
20535,54611703
20644,33144
20909,7132
21061,24693
21075,228285
21206,9500
21276,11814
21356,228424
21434,228480
21518,228534
21531,228542
21545,18064
21548,1134
21588,228569
21622,5922444
21662,228612
21666,228615
21669,228616
21681,228622
21683,228624
21702,54609326
21715,228635
21728,5351497
21914,2336
21970,1674
22070,12314793
22201,110719
22225,5351702
22227,409568
22348,229013
22600,5354917
22709,135410720
22842,5281707
22945,80565
22984,5371805
22994,24183021
23159,229453
23162,229455
23173,229459
23297,229543
23345,9552058
23416,5716814
23418,54603596
23477,5355002
23615,640
23676,229748
23759,13769
23766,54603599
23833,229831
23856,697963
23863,5354235
23904,54598822
23925,54601129
23936,6369925
23994,5355031
24030,229938
24037,5351711
24047,24183114
24076,54599607
24113,229969
24189,1549990
24500,68262
24559,6326719
24692,230132
24799,230205
24817,92129
24818,10607
24819,92122
24871,230232
24913,81664
25028,72908
25154,4842
25434,230493
25454,230510
25463,5351504
25485,4605
25703,230621
25818,66796
25830,230690
25846,230706
25861,5351722
26037,5929908
26040,5351150
26045,80771
26074,230791
26081,54604954
26113,5860626
26258,6758
26271,2907
26273,95263
26427,230978
26540,231054
26647,10141
26692,231112
26697,231115
26821,7340
26933,231205
26980,5746
27034,410191
27102,82692
27103,95282
27445,231363
27515,138417
27604,135431336
27607,135431337
27640,3363
28002,5351151
28081,231626
28365,231714
28408,5351731
28430,21650
28527,231799
28566,24183616
28567,24183617
28568,24183618
28569,24183619
28608,3652630
29013,232011
29018,232016
29117,5355215
29182,232136
29228,16590
29422,3938248
29424,517841
29443,16683643
29459,24183684
29603,54609373
29604,24183689
29606,54601764
29630,31010
29638,232328
29865,135431368
30033,23681
30083,232517
30198,24183788
30417,410636
30637,24183838
30652,79775
30656,71045
30659,5355260
30706,95715
30712,232780
30722,232789
30799,232835
30813,232850
30863,22658
30915,16683646
30916,16683647
30930,81146
30979,95723
31059,1416279
31660,16682749
31692,5898667
31703,5774635
31709,54605545
31711,24183911
31717,95735
31760,233330
31768,54599828
31777,54605565
31778,54603354
31779,54603015
31780,6540442
31782,54602338
31812,5340
31815,24183928
31869,68486
31882,5352001
32065,3657
32149,24183955
32190,81403
32212,5383396
32516,233642
32569,233683
32743,233768
32924,24184082
32927,5974
32930,24184086
32937,24184090
32942,31202
32944,23616886
32946,54598306
32951,4696
32967,54608353
32982,969516
32992,233866
33001,9878
33006,233871
33052,233907
33092,233937
33202,3551195
33353,40492789
33408,234103
33410,46151
33413,24184161
33418,54603357
33419,14132
33423,54605651
33434,24184168
33458,54602200
33467,54605652
33530,95759
33548,91378
33553,54605655
33556,54598857
33560,54599888
33566,54609218
33568,89341
33570,6184372
33574,24184220
33577,24184222
33669,6603320
33690,23398
33759,135538346
33762,135538347
33765,21123220
33832,54676860
34046,6080793
34060,54609242
34391,16219292
34444,234474
34462,6194
34475,234498
34521,5743
34533,3512
34541,234533
34656,234566
34661,9285
34749,54605247
34757,68060
34780,135460716
34864,234636
34924,24184589
34927,24184591
34931,135421923
34949,234660
35027,7717
35049,16677988
35123,15690
35400,234810
35427,411628
35441,21144180
35446,219163
35450,5351745
35468,234820
35471,92122
35479,54602203
35489,5351160
35542,66548
35563,411698
35580,234858
35587,234864
35617,54601070
35676,135403797
35683,16683655
35729,234897
35753,92156437
35767,76767
35770,3033832
35790,65708
35855,5355426
35915,234991
35949,235012
35950,235013
36333,15789
36338,17671
36354,84053
36359,24184856
36369,5351749
36373,235235
36405,72311
36407,72435
36408,164791
36413,235244
36437,5355441
36525,235292
36731,7215
36755,70848
36758,7083
36768,165441
36806,235431
37168,67277
37186,235600
37187,67275
37202,67241
37248,235636
37249,235637
37261,235647
37364,65275
37379,135408522
37388,95806
37432,5367146
37433,40492949
37518,235783
37600,235829
37608,75160
37627,6699
37641,235856
37815,235925
37876,54599458
37888,24185141
37889,235958
37895,235960
37896,24185143
37898,235961
37900,235963
37901,24185144
37943,9561248
38007,236003
38086,236063
38087,81400
38090,236065
38186,16683657
38270,412232
38525,358899
38530,373400
38534,382272
38535,373396
38643,10971
38663,54605559
38684,5351757
38721,4211
38732,3246138
38733,3246139
38737,3246141
38743,236331
38777,236350
38887,3379405
39135,236554
39147,91467
39199,236584
39202,236587
39215,54605586
39277,236633
39310,21144197
39351,236655
39356,236659
39367,236667
39368,236668
39575,236731
39661,3687
39688,213535
39779,5351763
39789,54605179
39792,20502
39803,5712119
39851,54605180
39863,236853
39969,236923
40273,237061
40341,237101
40342,237102
40593,237259
40618,1550330
40665,237305
40693,412646
40787,237371
40837,80247
41140,24185579
41373,78277
41390,237683
41566,91516
41567,237765
41658,22753
41805,5338
41880,16686
41890,80530
42044,22752
42070,4268411
42076,237979
42138,238016
42258,54603442
42352,3032930
42369,135538372
42371,135538373
42384,238161
42405,238166
42428,135538374
42656,238327
42679,238347
42695,238363
42797,238450
42808,238460
42824,238475
42856,135538375
42972,238545
43101,238637
43223,412934
43308,238775
43321,5351164
43333,238795
43339,238797
43409,4581572
43413,238855
43486,54603819
43534,238930
43567,238946
43578,5355695
43628,475701
43675,12540
43684,24185840
43959,15581
44102,239211
44230,239304
44303,215727
44477,5351779
44489,54605561
44580,239486
44585,239491
44684,24185927
44690,16524
44753,239578
45029,239677
45074,239705
45114,239729
45182,135421951
45236,239763
45238,5351782
45291,759327
45384,18834
45388,135398738
45527,239838
45548,135421986
45561,135421996
45565,22623
45595,239856
45596,239857
45641,520491
45730,239932
45739,413256
45828,3354028
45831,24186107
45940,240061
46061,5351168
46085,24186124
46213,240168
46598,54603898
46647,240444
46683,240478
46691,54609615
46728,5355441
46788,135408506
47147,135408511
47384,240739
47438,240767
47468,135408516
47657,240863
47713,75859
47715,135422057
47719,2723800
47723,22908
47731,196986
48006,240980
48034,241000
48151,241052
48160,241059
48162,241061
48229,241105
48238,135408530
48241,135408532
48269,241139
48300,241158
48526,95223
48630,54611667
48648,241362
48653,96023
48693,54601349
48856,241461
48874,241476
48888,96028
48890,241490
48892,241492
48956,241506
49096,81146
49244,30993
49451,5281316
49452,5356030
49460,413544
49488,135408549
49490,135408550
49495,135408551
49502,5539412
49512,5455
49520,141295
49565,241732
49689,5356053
49733,241855
49842,241902
50076,24186421
50137,413606
50188,242063
50189,242064
50190,242065
50273,242100
50413,2236
50463,54602943
50567,242225
50643,20196
50648,242249
50683,79513
50686,66718
50827,135408564
50869,242314
51001,5351548
51045,242436
51046,242437
51143,242471
51146,24186469
51148,24947
51351,5356121
51361,54601410
51369,242605
51524,13297
51534,75444
51535,80733
51562,4393482
51916,242907
52003,242937
52141,72519
52245,66413
52384,5228354
52389,54609893
52426,135408599
52427,135408600
52429,6058184
52440,243154
52627,243251
52745,24186625
53101,16807
53183,96111
53184,243422
53292,243456
53327,135408610
53396,243498
53454,243545
53638,24186696
53861,54601442
53866,243725
53892,243748
54042,135408621
54044,135408622
54059,97887
54101,243877
54251,243943
54278,243964
54340,243988
54393,244028
54548,737187
54690,135408642
54702,3375
54709,6147639
54848,54599371
54849,54605283
54854,244199
54902,1550999
54909,244246
54916,1551008
55114,244282
55236,54609620
55804,244706
55849,244737
55861,244745
56030,244818
56054,54603799
56287,244944
56410,244989
56452,244996
56544,54609678
56591,54611977
56612,245068
56624,245078
56633,24186907
56646,54603801
56677,12885
56736,54599374
56779,54602043
56805,245172
56808,54712667
56817,3503
56902,245197
57048,5480214
57187,762460
57197,689043
57199,9571
57715,245607
57759,5354204
57864,245680
57958,245731
57969,245742
58011,245772
58180,245858
58239,245869
58255,245879
58329,245913
58338,245920
58368,5474187
58385,96185
58514,5351560
58539,135408681
58573,246015
58574,246016
58575,246017
58634,246056
58903,44825805
58904,44825806
58905,246230
58906,246231
58924,246248
59220,54609809
59267,246331
59270,6332031
59275,5351838
59276,246334
59413,5351839
59450,710669
59620,246496
59684,159628
59687,8269
59729,447106
59814,31315
59937,246624
59984,5356520
59994,246657
59996,5375979
60043,246676
60044,24187152
60064,246693
60288,246779
60387,246845
60785,243149
60898,247104
61297,247165
61711,247304
61747,5351841
61772,247339
61805,5944
61837,5352005
61900,247416
62343,70684
62372,247525
62485,24181846
62586,247616
62709,247673
62752,247696
62791,5351178
62857,54605684
62914,66662
63357,247901
63549,247935
63629,247946
63701,247955
63786,135400404
63839,70397
63878,5351180
63984,248010
64087,25102584
64111,5351849
64342,248061
64692,248131
64703,248139
64798,6405305
64821,24187030
64875,54605840
64945,6184681
65022,135460243
65104,494023
65238,248381
65239,7648
65346,5153
65381,10971
65537,248466
65601,5372879
65628,5291187
65814,9561622
65860,415011
65921,248608
66020,64983
66211,248767
66214,67354
66230,248781
66259,3363
66301,5356780
66323,24187598
66366,248852
66380,5351860
66457,248894
66543,248909
66902,249007
66914,249012
66917,249015
66933,249018
67015,16682788
67025,54608667
67041,5356823
67090,135460261
67091,135422273
67118,249134
67209,96324
67239,249187
67477,54608243
67478,54603621
67480,54599910
67574,249332
67580,72815
67586,135422275
67588,54706004
67601,23406
67603,249349
67714,18702719
67774,249442
67798,249454
67799,249455
67817,13752
67925,54609874
68075,21470
68088,54599426
68091,5356922
68092,22875
68154,54602470
