Sanger name	Sanger COSMIC ID	CCLE Label	CCLE name
JVM-3	907270	JVM3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	JVM-3
NOMO-1	908451	NOMO1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NOMO-1
NCI-H727	724855	NCIH727_LUNG	NCI-H727
MKN45	925340	MKN45_STOMACH	MKN-45
8505C	924102	8505C_THYROID	8505C
KU-19-19	907312	KU1919_URINARY_TRACT	KU-19-19
S-117	910946	S117_SOFT_TISSUE	S-117
EM-2	906855	EM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	EM-2
OPM-2	909249	OPM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	OPM-2
CAL-62	906828	CAL62_THYROID	CAL-62
LCLC-103H	753586	LCLC103H_LUNG	LCLC-103H
697	906800	697_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	697
MHH-CALL-2	908132	MHHCALL2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	MHH-CALL-2
L-428	907322	L428_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	L-428
MOLT-16	908147	MOLT16_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	MOLT-16
LCLC-97TM1	946361	LCLC97TM1_LUNG	LCLC-97TM1
23132-87	910924	2313287_STOMACH	23132/87
BHT-101	906696	BHT101_THYROID	BHT-101
JVM-2	907269	JVM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	JVM-2
CAL-51	910927	CAL51_BREAST	CAL-51
L-363	924239	L363_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	L-363
KM-H2	909976	KMH2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	KM-H2
SIMA	753620	SIMA_AUTONOMIC_GANGLIA	SIMA
BCPAP	924104	BCPAP_THYROID	B-CPAP
639-V	906798	639V_URINARY_TRACT	639-V
CAL-120	906826	CAL120_BREAST	CAL-120
647-V	906797	647V_URINARY_TRACT	647-V
RH-18	971774	RH18_SOFT_TISSUE	RH-18
HN	907059	HN_UPPER_AERODIGESTIVE_TRACT	HN
COLO-320-HSR	910569		
A427	910851		
A431	910925		
A4-Fuk	910934		
ACN	906803		
ALL-PO	910944		
ARH-77	906765		
ATN-1	910687		
BALL-1	910705		
BB30-HNC	753531		
BB49-HNC	753532		
BB65-RCC	753533		
BC-1	910919		
BC-3	910918		
BE-13	906763		
BOKU	753536		
BPH-1	924105		
C-33-A	687505		
C-4-II	910553		
C8166	906829		
Ca9-22	753538		
CAL-39	924107		
CAL-72	906827		
CaR-1	924108		
Ca-Ski	906824		
CCRF-CEM	905952		
CESS	910688		
CHP-134	910941		
COLO-684	910691		
COLO-824	906812		
CP66-MEL	753546		
CP67-MEL	949092		
CRO-AP2	906807		
CTB-1	949088		
CTV-1	753548		
D-247MG	946367		
D-263MG	946368		
D-336MG	946369		
D-392MG	946370		
D-423MG	946372		
D-502MG	946373		
D-542MG	753549		
D-566MG	946377		
DG-75	906838		
DJM-1	906841		
DOK	910936		
DoTc2-4510	906843		
DSH1	753552		
EB-3	906847		
ECC4	906850		
EGI-1	906853		
EKVX	905970		
EoL-1-cell	906856		
ES1	949158		
ES3	684055		
ES5	684057		
ES6	949157		
ES7	684059		
ES8	949155		
ETK-1	906861		
EW-1	949163		
EW-11	684062		
EW-12	949162		
EW-13	949166		
EW-16	949165		
EW-18	949164		
EW-22	949167		
EW-24	949168		
EW-3	949161		
EW-7	949160		
GAK	910932		
GI-ME-N	906872		
GOTO	906875		
GP5d	907291		
GR-ST	906877		
GT3TKB	907041		
H9	907043		
HAL-01	949153		
HC-1	907044		
HCC2998	905971		
HCE-4	753559		
HCE-T	907049		
H-EMC-SS	907290		
HMV-II	907058		
HO-1-N-1	924111		
HOP-62	905972		
HOP-92	905973		
HT-3	907068		
HTC-C3	924151		
HuO-3N1	909977		
HuO9	907072		
IM-9	753563		
IMR-5	907170		
IST-MEL1	907172		
IST-SL1	753564		
IST-SL2	753565		
JAR	907175		
JEG-3	907176		
JiyoyeP-2003	907268		
J-RT3-T3-5	907391		
K5	924238		
KARPAS-45	907272		
KGN	924186		
KINGS-1	907279		
KMOE-2	907280		
KOSC-2	753570		
KP-N-YS	946363		
KY821	907300		
LAN-6	949170		
LB1047-RCC	753577		
LB2241-RCC	753578		
LB2518-MEL	753579		
LB373-MEL-D	753581		
LB647-SCLC	753582		
LB771-HNC	753583		
LB831-BLC	753584		
LB996-RCC	753585		
LC4-1	907787		
LN-405	910694		
LU-134-A	753588		
LU-135	713899		
LU-139	713878		
M059J	949094		
M14	905975		
MC-IXC	908118		
ME-180	687514		
MFH-ino	925343		
MFM-223	910948		
MHH-PREB-1	908136		
MKN28	908139		
ML-2	908141		
MMAC-SF	925339		
MN-60	908143		
MRK-nu-1	908151		
MS-1	753594		
MZ7-mel	753596		
NB10	949171		
NB12	949172		
NB13	949177		
NB14	949178		
NB17	949175		
NB5	949176		
NB6	949173		
NB69	908440		
NB7	949174		
NBsusSR	925342		
NCCIT	908441		
NCI-H1304	753599		
NCI-H1522	908464		
NCI-H1770	687804		
NCI-H1993	908476		
NCI-H2107	924246		
NCI-H250	924241		
NCI-H345	688021		
NCI-H378	688022		
NCI-H630	908482		
NCI-H64	688026		
NEC8	910942		
NH-12	908447		
NKM-1	908448		
no-10	908452		
no-11	908450		
NOS-1	925345		
NTERA-S-cl-D1	908454		
NY	910849		
OCUB-M	909256		
OMC-1	949154		
OVCAR-5	905969		
P30-OHK	909252		
PA-1	909255		
PFSK-1	683667		
QIMR-WIL	910545		
Ramos-2G6-4C10	910401		
REH	909696		
RH-1	971773		
RO82-W-1	930083		
RPMI-2650	909700		
RPMI-6666	909701		
RPMI-8866	910544		
RXF393	905978		
SAS	909708		
SBC-1	713885		
SCC-3	910930		
SCH	909711		
SF268	905986		
SF539	905984		
SiHa	930297		
SKG-IIIa	930298		
SK-MG-1	909729		
SK-NEP-1	909730		
SN12C	905979		
SNU-C2B	909740		
SW13	909744		
SW626	909753		
SW684	909754		
SW872	909756		
SW954	924247		
SW962	909758		
SW982	909759		
TC-YIK	946357		
TE-12	946356		
TGBC1TKB	909769		
TGBC24TKB	910695		
TGW	910780		
TK10	905980		
TUR	909773		
U031	905981		
U-698-M	909777		
UMC-11	909779		
VA-ES-BJ	688121		
WSU-NHL	909785		
MZ2-MEL	971777		
NCI-H1694	688006	NCIH1694_LUNG	NCI-H1694
KLE	924187	KLE_ENDOMETRIUM	KLE
SK-MEL-1	909723	SKMEL1_SKIN	SK-MEL-1
NCI-H1734	722058	NCIH1734_LUNG	NCI-H1734
NCI-H322M	905967	NCIH322_LUNG	NCI-H322
SH-4	909713	SH4_SKIN	SH-4
ECC10	906848	ECC10_STOMACH	ECC10
NCI-H1963	688010	NCIH1963_LUNG	NCI-H1963
RL95-2	930082	RL952_ENDOMETRIUM	RL95-2
EFE-184	924109	EFE184_ENDOMETRIUM	EFE-184
MC116	907799	MC116_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	MC116
AU565	910704	AU565_BREAST	AU565
HCC1569	907046	HCC1569_BREAST	HCC1569
GB-1	687568	GB1_CENTRAL_NERVOUS_SYSTEM	GB-1
NCI-H69	688027	NCIH69_LUNG	NCI-H69
KG-1	907278	KG1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	KG-1
NCI-H1648	687799	NCIH1648_LUNG	NCI-H1648
NCI-H1623	687798	NCIH1623_LUNG	NCI-H1623
Capan-2	910915	CAPAN2_PANCREAS	Capan-2
Malme-3M	905953	MALME3M_SKIN	Malme-3M
NCI-H2122	722046	NCIH2122_LUNG	NCI-H2122
BT-474	946359	BT474_BREAST	BT-474
NCI-H1581	908471	NCIH1581_LUNG	NCI-H1581
G-402	907298	G402_SOFT_TISSUE	G-402
RT4	687455	RT4_URINARY_TRACT	RT4
K-562	905940	K562_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	K-562
MV-4-11	908156	MV411_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	MV-4-11
8305C	906795	8305C_THYROID	8305C
UACC-893	909778	UACC893_BREAST	UACC-893
CHP-126	910567	CHP126_AUTONOMIC_GANGLIA	CHP-126
KU812	907311	KU812_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	KU812
SIG-M5	909715	SIGM5_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	SIG-M5
A388	910697		
COLO-829	687448		
CP50-MEL-B	753545		
ES4	949156		
LC-2-ad	907786		
LU-165	753589		
MC-CAR	683665		
MLMA	908142		
Mo-T	908149		
MZ1-PC	753595		
NCI-H128	753597		
NCI-H1417	688001		
NCI-H187	688007		
NCI-H1882	753602		
NCI-H719	924242		
NCI-H720	687600		
NCI-H748	909194		
SK-PN-DW	909731		
SNB75	905982		
SW756	724839		
TE-441-T	924248		
YT	946358		
HuNS1		HUNS1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	HuNS1
AML-193	949089	AML193_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	AML-193
NH-6	925344	NH6_AUTONOMIC_GANGLIA	NH-6
NCI-H508	908442	NCIH508_LARGE_INTESTINE	NCI-H508
HUH-6-clone5	907070	HUH6_LIVER	HuH-6
KP-N-S19s	907315	KPNSI9S_AUTONOMIC_GANGLIA	KP-N-SI9s
HuH-28		HUH28_BILIARY_TRACT	HuH28
MJ		MJ_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	MJ
MDA-MB-435		MDAMB435S_SKIN	MDA-MB-435S
NCI-H1105	908468	NCIH1105_LUNG	NCI-H1105
COR-L51		CORL51_LUNG	COR-L51
NCI-H1930	924245	NCIH1930_LUNG	NCI-H1930
SNB19		SNB19_CENTRAL_NERVOUS_SYSTEM	SNB-19
MOG-G-UVW	908145	MOGGUVW_CENTRAL_NERVOUS_SYSTEM	MOG-G-UVW
NCI-H146	910899	NCIH146_LUNG	NCI-H146
SW403		SW403_LARGE_INTESTINE	SW403
KATOIII	907276	KATOIII_STOMACH	KATO III
MOG-G-CCM	908144	MOGGCCM_CENTRAL_NERVOUS_SYSTEM	MOG-G-CCM
CML-T1	910951	CMLT1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	CML-T1
NALM-1	908157	NALM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NALM-1
MHH-CALL-4	908133	MHHCALL4_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	MHH-CALL-4
NB4	1323913	NB4_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NB-4
380	924101		
BONNA-12	906695		
Capan-2-DSMZ-C			
COLO-720E	910938		
COR-L96CAR	971776		
CRO-AP5	906806		
D-245MG	946366		
D-384MED	946379		
D-397MG	946371		
D-458MED	946381		
D-538MG	946376		
D-556MED	946380		
GA-10-Clone-20			
GA-10-Clone-4	906867		
GOTO-P3			
Gp2D			
HA7-RCC	753558		
HeLaSF	687509		
ITO-II	924164		
LAN-1			
LAN-5			
LS-174T			
MC-1010	907798		
MUTZ-1			
NB16			
NB19			
NCI-ADR-RES			
NCI-H157			
NCI-H2330	688019		
NCI-H295	908466		
NCI-N417	688033		
PD1503a			
RERF-LC-FM	930081		
RF-48	909697		
RTSG			
SCCH-26	909710		
SUP-B8	910209		
TCO-1			
TE-161-T	909765		
VMRC-MELG	930301		
WERI-Rb-1	909782		
P3HR-1	1330988	P3HR1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	P3HR-1
		HUT78_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	HuT 78
NCI-H1184	688000	NCIH1184_LUNG	NCI-H1184
TC-71	1240221	TC71_BONE	TC-71
		OV56_OVARY	OV56
JHOS-4	1480359	JHOS4_OVARY	JHOS-4
		RMUGS_OVARY	RMUG-S
		HS895T_SKIN	Hs 895.T
LN-229	1240169	LN229_CENTRAL_NERVOUS_SYSTEM	LN-229
RKN	1298539	RKN_SOFT_TISSUE	RKN
PA-TU-8988S	1298527	PATU8988S_PANCREAS	PA-TU-8988S
RERF-LC-Ad2	1298536	RERFLCAD2_LUNG	RERF-LC-Ad2
OUMS-23	1298363	OUMS23_LARGE_INTESTINE	OUMS-23
		OUMS27_BONE	OUMS-27
		PL45_PANCREAS	PL45
		HS940T_SKIN	Hs 940.T
		HS611T_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Hs 611.T
Toledo	1331046	TOLEDO_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Toledo
RERF-GC-1B	1240209	RERFGC1B_STOMACH	RERF-GC-1B
		COV318_OVARY	COV318
NCI-H2085	687812	NCIH2085_LUNG	NCI-H2085
NCI-H2066	1330973	NCIH2066_LUNG	NCI-H2066
NCI-H1341	1330964	NCIH1341_LUNG	NCI-H1341
		SW480_LARGE_INTESTINE	SW480
		HS746T_STOMACH	Hs 746T
		HS739T_BREAST	Hs 739.T
		SNUC2A_LARGE_INTESTINE	SNU-C2A
		HEC151_ENDOMETRIUM	HEC-151
JHH-7	1240160	JHH7_LIVER	JHH-7
		HUT102_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	HuT 102
SUP-B15	1247871	SUPB15_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	SUP-B15
EBC-1	753554	EBC1_LUNG	EBC-1
		YMB1_BREAST	YMB-1
		OC316_OVARY	OC 316
		HS936T_SKIN	Hs 936.T
		HS618T_LUNG	Hs 618.T
		HS870T_BONE	Hs 870.T
		HS706T_BONE	Hs 706.T
		PANC1_PANCREAS	PANC-1
		HS742T_BREAST	Hs 742.T
		BICR56_UPPER_AERODIGESTIVE_TRACT	BICR 56
		BICR16_UPPER_AERODIGESTIVE_TRACT	BICR 16
		BICR6_UPPER_AERODIGESTIVE_TRACT	BICR 6
		AZ521_STOMACH	AZ-521
		KPL1_BREAST	KPL-1
		TUHR4TKB_KIDNEY	TUHR4TKB
HPAC	1298136	HPAC_PANCREAS	HPAC
		JHOM1_OVARY	JHOM-1
		SU8686_PANCREAS	SU.86.86
HCC-33	1303901	HCC33_LUNG	HCC-33
		JHOC5_OVARY	JHOC-5
		ACCMESO1_PLEURA	ACC-MESO-1
		SNU1214_UPPER_AERODIGESTIVE_TRACT	SNU-1214
		LMSU_STOMACH	LMSU
		SNU1197_LARGE_INTESTINE	SNU-1197
		PANC0203_PANCREAS	Panc 02.03
		CJM_SKIN	CJM
		BICR22_UPPER_AERODIGESTIVE_TRACT	BICR 22
		SHSY5Y_AUTONOMIC_GANGLIA	SH-SY5Y
		TM31_CENTRAL_NERVOUS_SYSTEM	TM-31
		SNU1272_KIDNEY	SNU-1272
		BICR18_UPPER_AERODIGESTIVE_TRACT	BICR 18
TE-4	1503371	TE4_OESOPHAGUS	TE-4
		PCM6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	PCM6
		TUHR14TKB_KIDNEY	TUHR14TKB
		YD15_SALIVARY_GLAND	YD-15
		UBLC1_URINARY_TRACT	U-BLC1
		SNU761_LIVER	SNU-761
SNU-61	1660035	SNU61_LARGE_INTESTINE	SNU-61
NCI-H1915	1240184	NCIH1915_LUNG	NCI-H1915
		SNU324_PANCREAS	SNU-324
		YD10B_UPPER_AERODIGESTIVE_TRACT	YD-10B
		HCC2279_LUNG	HCC-2279
		HLC1_LUNG	HLC-1
		TUHR10TKB_KIDNEY	TUHR10TKB
VMRC-LCP	930300	VMRCLCP_LUNG	VMRC-LCP
		OVK18_OVARY	OVK18
		SNU1077_ENDOMETRIUM	SNU-1077
		HCC1588_LUNG	HCC-1588
		SNU213_PANCREAS	SNU-213
		HT115_LARGE_INTESTINE	HT115
		TE14_OESOPHAGUS	TE-14
		SNU520_STOMACH	SNU-520
		JHUEM3_ENDOMETRIUM	JHUEM-3
		LI7_LIVER	Li-7
		SNU119_OVARY	SNU-119
		SNU1033_LARGE_INTESTINE	SNU-1033
SNU-C5	1674021	SNUC5_LARGE_INTESTINE	SNU-C5
		GSS_STOMACH	GSS
		HCC1171_LUNG	HCC-1171
		SNUC4_LARGE_INTESTINE	SNU-C4
		U138MG_CENTRAL_NERVOUS_SYSTEM	U-138 MG
		SNU620_STOMACH	SNU-620
		GSU_STOMACH	GSU
		KMS18_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	KMS-18
		JHOM2B_OVARY	JHOM-2B
OV-90	1240197	OV90_OVARY	OV-90
OVTOKO	1298365	OVTOKO_OVARY	OVTOKO
		HLF_LIVER	HLF
JHH-4	1240158	JHH4_LIVER	JHH-4
CCK-81	1240123	CCK81_LARGE_INTESTINE	CCK-81
JHH-1	1298151	JHH1_LIVER	JHH-1
		RERFLCAI_LUNG	RERF-LC-AI
		JHH5_LIVER	JHH-5
FU97	1290806	FU97_STOMACH	FU97
HCC-15	1240143	HCC15_LUNG	HCC-15
M059K	1298232	M059K_CENTRAL_NERVOUS_SYSTEM	M059K
MFE-319	1240174	MFE319_ENDOMETRIUM	MFE-319
		GOS3_CENTRAL_NERVOUS_SYSTEM	GOS-3
PA-TU-8902	1298526	PATU8902_PANCREAS	PA-TU-8902
L-1236	1330935	L1236_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	L-1236
DAN-G	1290797	DANG_PANCREAS	DAN-G
		SH10TC_STOMACH	SH-10-TC
		KMS21BM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	KMS-21BM
		KMS26_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	KMS-26
		KMS27_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	KMS-27
		KMS28BM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	KMS-28BM
		KNS60_CENTRAL_NERVOUS_SYSTEM	KNS-60
		KMS34_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	KMS-34
		MKN74_STOMACH	MKN74
KP-3	1298219	KP3_PANCREAS	KP-3
		NCO2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NCO2
		KHM1B_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	KHM-1B
KG-1-C	1240164	KG1C_CENTRAL_NERVOUS_SYSTEM	KG-1-C
		KMBC2_URINARY_TRACT	KMBC-2
KMRC-20	1298169	KMRC20_KIDNEY	KMRC-20
		KIJK_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Ki-JK
		A4FUK_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	A4/Fuk
		HEC108_ENDOMETRIUM	HEC-108
		HEL9217_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	HEL 92.1.7
		CMK115_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	CMK-11-5
		HEC265_ENDOMETRIUM	HEC-265
SK-N-SH	717431	SKNSH_AUTONOMIC_GANGLIA	SK-N-SH
		HEC6_ENDOMETRIUM	HEC-6
		HEC50B_ENDOMETRIUM	HEC-50B
KMS-11	1659817	KMS11_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	KMS-11
		KE39_STOMACH	KE-39
		COV504_OVARY	COV504
		KE97_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	KE-97
VMRC-RCW	1240224	VMRCRCW_KIDNEY	VMRC-RCW
		LUDLU1_LUNG	LUDLU-1
		HUG1N_STOMACH	HuG1-N
NUGC-4	1298357	NUGC4_STOMACH	NUGC-4
		HMC18_BREAST	HMC-1-8
		KMM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	KMM-1
		MORCPR_LUNG	MOR/CPR
HARA	1240142	HARA_LUNG	HARA
NCI-H1568	1298348	NCIH1568_LUNG	NCI-H1568
		BCP1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	BCP-1
		COLO201_LARGE_INTESTINE	COLO 201
SNU-182	1240216	SNU182_LIVER	SNU-182
		SKNMC_BONE	SK-N-MC
MDA-MB-436	1240172	MDAMB436_BREAST	MDA-MB-436
		PANC0213_PANCREAS	Panc 02.13
RD-ES	1330996	RDES_BONE	RD-ES
		SW1271_LUNG	SW 1271
		SKBR3_BREAST	SK-BR-3
OCUM-1	1298358	OCUM1_STOMACH	OCUM-1
		TEN_ENDOMETRIUM	TEN
		HS604T_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Hs 604.T
		JHUEM1_ENDOMETRIUM	JHUEM-1
GA-10	1303896	GA10_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	GA-10
SNU-398	1240217	SNU398_LIVER	SNU-398
		EB1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	EB1
JM1	1327768	JM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	JM1
SK-ES-1	684072	SKES1_BONE	SK-ES-1
		HEC251_ENDOMETRIUM	HEC-251
		HCC95_LUNG	HCC-95
		253J_URINARY_TRACT	253J
		HCC1438_LUNG	HCC-1438
		253JBV_URINARY_TRACT	253J-BV
		SNU1066_UPPER_AERODIGESTIVE_TRACT	SNU-1066
		SNU1041_UPPER_AERODIGESTIVE_TRACT	SNU-1041
		HCC2108_LUNG	HCC-2108
COLO-783	1240125	COLO783_SKIN	COLO-783
		HCC1359_LUNG	HCC-1359
		BICR31_UPPER_AERODIGESTIVE_TRACT	BICR 31
		COV362_OVARY	COV362
		COV434_OVARY	COV434
		WM983B_SKIN	WM-983B
		HS751T_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Hs 751.T
NCI-H2110	1298351	NCIH2110_LUNG	NCI-H2110
		DMS454_LUNG	DMS 454
COR-L47	753544	CORL47_LUNG	COR-L47
		FTC238_THYROID	FTC-238
COR-L311	687980	CORL311_LUNG	COR-L311
NCI-H2286	1298355	NCIH2286_LUNG	NCI-H2286
		NCIH1339_LUNG	NCI-H1339
		WM793_SKIN	WM-793
		WM1799_SKIN	WM1799
		WM88_SKIN	WM-88
		HS255T_LARGE_INTESTINE	Hs 255.T
JHH-6	1240159	JHH6_LIVER	JHH-6
NCI-H1876	1330972	NCIH1876_LUNG	NCI-H1876
COR-L24	1322211	CORL24_LUNG	COR-L24
		COV644_OVARY	COV644
		GP2D_LARGE_INTESTINE	GP2d
		PECAPJ15_UPPER_AERODIGESTIVE_TRACT	PE/CA-PJ15
COR-L95	1297439	CORL95_LUNG	COR-L95
		PECAPJ49_UPPER_AERODIGESTIVE_TRACT	PE/CA-PJ49
		PECAPJ34CLONEC12_UPPER_AERODIGESTIVE_TRACT	PE/CA-PJ34 (clone C12)
		RT11284_URINARY_TRACT	RT112/84
		PECAPJ41CLONED2_UPPER_AERODIGESTIVE_TRACT	PE/CA-PJ41 (clone D2)
		OV7_OVARY	OV7
MDST8	1240173	MDST8_LARGE_INTESTINE	MDST8
SUIT-2	1240219	SUIT2_PANCREAS	SUIT-2
		LC1SQSF_LUNG	LC-1/sq-SF
SUP-M2	1331040	SUPM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	SUP-M2
NCI-H2172	1298353	NCIH2172_LUNG	NCI-H2172
		ISHIKAWAHERAKLIO02ER_ENDOMETRIUM	Ishikawa (Heraklio) 02 ER-
OVMANA	1333023	OVMANA_OVARY	OVMANA
HCC-366	1240144	HCC366_LUNG	HCC-366
		SNU349_KIDNEY	SNU-349
		UMUC1_URINARY_TRACT	UM-UC-1
NAMALWA	908159	NAMALWA_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NAMALWA
		59M_OVARY	59M
VMRC-LCD	713869	VMRCLCD_LUNG	VMRC-LCD
		HCC1833_LUNG	HCC-1833
RH-30	1330998	RH30_SOFT_TISSUE	RH-30
		SNU601_STOMACH	SNU-601
		SNU668_STOMACH	SNU-668
		COLO775_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	COLO 775
		COLO684_ENDOMETRIUM	COLO 684
		KLM1_PANCREAS	KLM-1
		GRM_SKIN	GR-M
		SNU685_ENDOMETRIUM	SNU-685
		CMK86_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	CMK-86
		SNU886_LIVER	SNU-886
		HCT8_LARGE_INTESTINE	HCT-8
		NCCSTCK140_STOMACH	NCC-StC-K140
H3255	1247873	NCIH3255_LUNG	NCI-H3255
		SNU719_STOMACH	SNU-719
		SNU489_CENTRAL_NERVOUS_SYSTEM	SNU-489
SNU-81	1660036	SNU81_LARGE_INTESTINE	SNU-81
		HTK_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	HTK-
SNU-1040	1659823	SNU1040_LARGE_INTESTINE	SNU-1040
		SNU1076_UPPER_AERODIGESTIVE_TRACT	SNU-1076
SNU-175	1659928	SNU175_LARGE_INTESTINE	SNU-175
SNU-407	1660034	SNU407_LARGE_INTESTINE	SNU-407
		SNU201_CENTRAL_NERVOUS_SYSTEM	SNU-201
		KMS20_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	KMS-20
		SNU216_STOMACH	SNU-216
		SNU1196_BILIARY_TRACT	SNU-1196
		SNU1079_BILIARY_TRACT	SNU-1079
		HCC1195_LUNG	HCC-1195
		NCIH854_LUNG	NCI-H854
		SNU466_CENTRAL_NERVOUS_SYSTEM	SNU-466
		YD38_UPPER_AERODIGESTIVE_TRACT	YD-38
		SNU1105_CENTRAL_NERVOUS_SYSTEM	SNU-1105
SNU-283	1659929	SNU283_LARGE_INTESTINE	SNU-283
		SNU46_UPPER_AERODIGESTIVE_TRACT	SNU-46
		SNU308_BILIARY_TRACT	SNU-308
		YD8_UPPER_AERODIGESTIVE_TRACT	YD-8
		SNU245_BILIARY_TRACT	SNU-245
		SNU478_BILIARY_TRACT	SNU-478
		SNU410_PANCREAS	SNU-410
		SNU899_UPPER_AERODIGESTIVE_TRACT	SNU-899
		SNU503_LARGE_INTESTINE	SNU-503
		SET2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Set-2
		SNU738_CENTRAL_NERVOUS_SYSTEM	SNU-738
		SNU626_CENTRAL_NERVOUS_SYSTEM	SNU-626
		SNU869_BILIARY_TRACT	SNU-869
		SNU878_LIVER	SNU-878
		SNU840_OVARY	SNU-840
		SNU8_OVARY	SNU-8
		NCIH684_LIVER	NCI-H684
		IGR39_SKIN	IGR-39
		ALEXANDERCELLS_LIVER	Alexander cells
		HEP3B217_LIVER	Hep 3B2.1-7
KYM-1	1240166	KYM1_SOFT_TISSUE	KYM-1
		JMSU1_URINARY_TRACT	JMSU-1
		IMR32_AUTONOMIC_GANGLIA	IMR-32
SU-DHL-8	1331038	SUDHL8_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	SU-DHL-8
		T3M4_PANCREAS	T3M-4
		COLO818_SKIN	COLO-818
		PK45H_PANCREAS	PK-45H
		HEC59_ENDOMETRIUM	HEC-59
		T3M10_LUNG	T3M-10
NUGC-2	1240194	NUGC2_STOMACH	NUGC-2
NCI-H929	724825	NCIH929_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NCI-H929
		KMRC3_KIDNEY	KMRC-3
NCI-H2023	1240187	NCIH2023_LUNG	NCI-H2023
		D341MED_CENTRAL_NERVOUS_SYSTEM	D341 Med
NCI-H660	1330975	NCIH660_PROSTATE	NCI-H660
		HS675T_LARGE_INTESTINE	Hs 675.T
		PEER_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	PEER
SK-MEL-31	909727	SKMEL31_SKIN	SK-MEL-31
		HS839T_SKIN	Hs 839.T
		HS939T_SKIN	Hs 939.T
		OCILY3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	OCI-LY3
		HS819T_BONE	Hs 819.T
		ZR751_BREAST	ZR-75-1
		SKNBE2_AUTONOMIC_GANGLIA	SK-N-BE(2)
HCC-56	1290907	HCC56_LARGE_INTESTINE	HCC-56
		TO175T_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	TO 175.T
		PK1_PANCREAS	PK-1
		HS840T_UPPER_AERODIGESTIVE_TRACT	Hs 840.T
		TE617T_SOFT_TISSUE	TE 617.T
