"clioquinol"	"Oc1c(I)cc(Cl)c2cccnc12"
"4-N-(7-Chloroquinolin-4-yl)-1-N-cyclohexylcyclohexane-1,4-diamine"	"Clc1ccc2c(NC3CCC(CC3)NC4CCCCC4)ccnc2c1"
""	"CCN(CC)c1ccc(NC(C(=O)c2ccccc2)c3ccccc3)cc1"
"AI3-08904"	"[O-][N+](=O)c1cccc(\C=C\C(=O)\C=C\c2cccc(c2)[N+](=O)[O-])c1"
"2,4-dinitrobromobenzene"	"[O-][N+](=O)c1ccc(Br)c(c1)[N+](=O)[O-]"
"Chloro-(5-chlorothiophen-2-yl)mercury"	"Cl[Hg]c1ccc(Cl)s1"
"1-(5-Bromo-4-nitrothiophen-2-yl)propan-1-one"	"CCC(=O)c1cc(c(Br)s1)[N+](=O)[O-]"
""	"c1cc[n+](cc1)C2c3ccccc3C(c4ccccc24)[n+]5ccccc5"
"tripyridyl"	"c1ccc(nc1)c2cccc(n2)c3ccccn3"
"thiolutin"	"CN1C(=O)C(=C2SSC=C12)NC(=O)C"
""	"C\C(=C/c1ccc(Cl)c(Cl)c1)\[N+](=O)[O-]"
"pyrod"	"O=C1NC=CC(=O)N1"
"auramin"	"CN(C)c1ccc(cc1)C(=N)c2ccc(cc2)N(C)C"
"urson"	"CC1CCC2(CCC3(C)C(=CCC4C5(C)CCC(O)C(C)(C)C5CCC34C)C2C1C)C(=O)O"
"Fenticlor"	"Oc1ccc(Cl)cc1Sc2cc(Cl)ccc2O"
"Morpholine-N-dithiocarbamate"	"SC(=S)N1CCOCC1"
"kipca"	"CC1=CC(=O)c2ccccc2C1=O"
"p,p'-Dihydroxystilbene"	"Oc1ccc(\C=C\c2ccc(O)cc2)cc1"
"4m2o"	"CN(C)c1ccc(\C=C\c2ccnc3ccccc23)cc1"
"2m2m"	"CN(C)c1ccc(\C=C\c2ccc3ccccc3[n+]2C)cc1"
"4m2m"	"CN(C)c1ccc(\C=C\c2cc[n+](C)c3ccccc23)cc1"
"5-methylphenanthroline"	"Cc1cc2cccnc2c3ncccc13"
"neocuproin"	"Cc1ccc2ccc3ccc(C)nc3c2n1"
"4,7-Dimethyl-o-phenanthroline"	"Cc1ccnc2c1ccc3c(C)ccnc23"
"STK862428"	"ClC1=C(Nc2ccccc2)C(=O)c3ccccc3C1=O"
"Masoprocol"	"CC(Cc1ccc(O)c(O)c1)C(C)Cc2ccc(O)c(O)c2"
"strophanthin"	"COC1CC(OC2CCC3(C=O)C4CCC5(C)C(CCC5(O)C4CCC3(O)C2)C6=CC(=O)OC6)OC(C)C1OC7OC(CO)C(O)C(O)C7O"
"1-[7-Chloro-2-(4-chlorophenyl)quinolin-4-yl]-2-(diethylamino)ethanol;hydrochloride"	"CCN(CC)CC(O)c1cc(nc2cc(Cl)ccc12)c3ccc(Cl)cc3"
"2-Iodo-3-(phenylsulfonyl)propanenitrile"	"IC(CS(=O)(=O)c1ccccc1)C#N"
"Bis(4-amino-3-bromophenyl)methanone"	"Nc1ccc(cc1Br)C(=O)c2ccc(N)c(Br)c2"
"(1Z,4E)-1,5-Bis(5-bromo-2-hydroxyphenyl)penta-1,4-dien-3-one"	"Oc1ccc(Br)cc1\C=C\C(=O)\C=C\c2cc(Br)ccc2O"
"Betulin"	"CC(=C)C1CCC2(CO)CCC3(C)C(CCC4C5(C)CCC(O)C(C)(C)C5CCC34C)C12"
""	"CC(C)c1cc(SC#N)c(C)cc1O"
"aloin"	"OCc1cc(OCC(O)C(O)C(O)C=O)c2C(=O)c3ccccc3C(=O)c2c1"
"Aminothiadiazole"	"Nc1nncs1"
""	"[O-][N+](=O)c1ccc(N\N=C\2/C(=O)Nc3ccccc23)c(c1)[N+](=O)[O-]"
"dedc"	"[Na+].CCN(CC)C(=S)S"
"quinalizarin"	"Oc1ccc2C(=O)c3c(O)ccc(O)c3C(=O)c2c1O"
"Thioinosine"	"OCC1OC(C(O)C1O)n2cnc3C(=S)N=CNc23"
"p-Toluhydroquinol"	"Cc1cc(O)ccc1O"
"tbhq"	"CC(C)(C)c1cc(O)ccc1O"
"tptz"	"c1ccc(cc1)c2n[n+](c3ccccc3)n(n2)c4ccccc4"
"allyliodourotropine"	"C=CC[N+]12CN3CN(CN(C3)C1)C2"
"2,4-Dihydroxy-6-methyl-4'-nitroazobenzene"	"Cc1cc(O)cc(O)c1N=Nc2ccc(cc2)[N+](=O)[O-]"
"POMIFERIN"	"CC(=CCc1c(O)c2C(=O)C(=COc2c3C=CC(C)(C)Oc13)c4ccc(O)c(O)c4)C"
"chartreusin"	"COC1C(O)C(C)OC(OC2C(Oc3cccc4c(O)c5C(=O)Oc6ccc(C)c7C(=O)Oc(c5c67)c34)OC(C)C(O)C2O)C1O"
"5,6-Chrysenedione"	"O=C1C(=O)c2c(ccc3ccccc23)c4ccccc14"
"olpizan"	"[O-][N+](=O)c1cc(Cl)c(Cl)c(c1Cl)[N+](=O)[O-]"
"chlorotriethyltin"	"CC[Sn](Cl)(CC)CC"
"Berberal"	"COc1ccc2cc3c4cc5OCOc5cc4CC[n+]3cc2c1OC"
"cinchonidine"	"OC(C1CC2CCN1CC2C=C)c3ccnc4ccccc34"
"Noscapine"	"COc1ccc2[C@H](OC(=O)c2c1OC)[C@@H]3N(C)CCc4cc5OCOc5c(OC)c34"
"p-Nitroso-N,N-diethylaniline"	"CCN(CC)c1ccc(cc1)N=O"
"1,3-Bis(7-chloroquinolin-4-ylamino)propan-2-ol"	"OC(CNc1ccnc2cc(Cl)ccc12)CNc3ccnc4cc(Cl)ccc34"
"phenylbenzophenone"	"O=C(c1ccccc1)c2ccccc2c3ccccc3"
"thonzide"	"CCCCCCCCCCCCCCCC[N+](C)(C)CCN(Cc1ccc(OC)cc1)c2ncccn2"
"5-(3,4,5-Trimethoxyphenyl)[1,3]dioxolo[4,5-g]isoquinoline"	"COc1cc(cc(OC)c1OC)c2nccc3cc4OCOc4cc23"
