"","SMILES"
"3298","COc1cc(\C=C(\C)/[N+](=O)[O-])ccc1O"
"3424","COc1ccc2nc3cc(Cl)ccc3c(NC(C)CCCN(CCCl)CCCl)c2c1"
"3531","Oc1c(I)cc(Cl)c2cccnc12"
"3618","Clc1ccc2c(NC3CCC(CC3)NC4CCCCC4)ccnc2c1"
"3628","CCN(CC)c1ccc(NC(C(=O)c2ccccc2)c3ccccc3)cc1"
"3799","[O-][N+](=O)c1cccc(\C=C\C(=O)\C=C\c2cccc(c2)[N+](=O)[O-])c1"
"3808","[O-][N+](=O)c1ccc(Br)c(c1)[N+](=O)[O-]"
"3840","Cl[Hg]c1ccc(Cl)s1"
"3847","CCC(=O)c1cc(c(Br)s1)[N+](=O)[O-]"
"3852","Oc1ccc(N=O)c2cccnc12"
"3877","c1cc[n+](cc1)C2c3ccccc3C(c4ccccc24)[n+]5ccccc5"
"3905","c1ccc(nc1)c2cccc(n2)c3ccccn3"
"3907","Oc1cccc2cccnc12"
"3927","CN1C(=O)C(=C2SSC=C12)NC(=O)C"
"3941","C\C(=C/c1ccc(Cl)c(Cl)c1)\[N+](=O)[O-]"
"3970","O=C1NC=CC(=O)N1"
"4045","CN(C)c1ccc(cc1)C(=N)c2ccc(cc2)N(C)C"
"4060","CC1CCC2(CCC3(C)C(=CCC4C5(C)CCC(O)C(C)(C)C5CCC34C)C2C1C)C(=O)O"
"4112","Oc1ccc(Cl)cc1Sc2cc(Cl)ccc2O"
"4114","SC(=S)N1CCOCC1"
"4170","CC1=CC(=O)c2ccccc2C1=O"
"4184","Oc1ccc(\C=C\c2ccc(O)cc2)cc1"
"4232","OC(=O)c1cccc(NC(C(=O)c2ccccc2)c3ccccc3)c1"
"4236","CN(C)c1ccc(\C=C\c2ccnc3ccccc23)cc1"
"4238","CN(C)c1ccc(\C=C\c2ccc3ccccc3[n+]2C)cc1"
"4239","CN(C)c1ccc(\C=C\c2cc[n+](C)c3ccccc23)cc1"
"4265","c1cnc2c(c1)ccc3cccnc23"
