"","SMILES"
"93354","C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)CC[C@]34C)[C@@H]1CC[C@@H]2c5csc(n5)c6ccccc6"
"93355","CC12CC(O)C3C(CCC4=CC(=O)CCC34C)C1CCC2c5csc(N)n5.OS(=O)(=O)c6ccc(Br)cc6"
"93419","COC1C(O)C(O)C(C)OC1OC2C(OC)C(C)(O)C(=O)c3cc4C(=O)c5cc(OC)cc(O)c5C(=O)c4c(O)c23"
"93427","NC(=O)c1cc2c3ccccc3ccn2c1c4ccccc4"
"93489","O=C1NSC=C1"
"93674","COc1cc2CCN(C)[C@H]3Cc4ccc(Oc5cc(C[C@H]6N(C)CCc7cc(OC)c(Oc(c1O)c23)cc67)ccc5O)cc4"
"93734","CC(N)Cc1ccc(Cl)c(Cl)c1"
"93737","CN(C)c1ccc(cc1)C(=N)c2ccc(cc2)N(C)C"
"93739","Cc1cc(ccc1N)C(=C2C=CC(=N)C=C2)c3ccc(N)cc3"
"93819","CCCC(CCC)C(=O)O"
"93866","Cc1c2cc(Cl)c3ccccc3c2c[n+]4ccccc14"
"93868","Cc1ccc2c(ccc3c[n+]4ccccc4c(C)c23)c1"
"93958","O=C1NC(=O)C(=C\C=C\c2ccccc2)C(=O)N1"
"93967","OC(=O)C(Cc1c[nH]cn1)N2C(=O)c3ccccc3C2=O"
"94037","CC12CC3OC(=O)C(=C)C3C4OC(=O)C(=C4)C5OC5C1O2"
"94600","CC[C@@]1(O)C(=O)OCC2=C1C=C3N(Cc4cc5ccccc5nc34)C2=O"
"94703","CNc1ccc(cc1)N=Nc2cccc3ncccc23"
"94739","COc1cc2c3CN4CCC[C@H]4[C@H](O)c3c5ccc(O)cc5c2cc1OC"
"94743","CC(=O)OC(C)(C)\C=C\C(=O)[C@](C)(O)[C@H]1[C@H](O)C[C@@]2(C)[C@@H]3CC=C4[C@@H](C[C@H](O)C(=O)C4(C)C)[C@]3(CO)C(=O)C[C@]12C"
"94783","COc1cc(ccc1O)C2SCCCCCCCCCCSC(SCCCCCCCCCCS2)c3ccc(O)c(OC)c3"
"94810","Nc1ccc(N(S(=O)(=O)c2ccccc2)S(=O)(=O)c3ccccc3)c(Cl)c1"
"94820","O=C1N(C(=O)c2ccccc12)c3ccc(Cc4ccc(cc4)N5C(=O)c6ccccc6C5=O)cc3"
"94889","COc1cc(cc(OC)c1OC)C2=CC(=O)c3c(O)c(OC)c(OC)c(OC)c3O2"
"94945","NC1=CC2=Nc3ccccc3OC2=CC1=O"
"95099","CC1OC(CC(O)C1O)OC2C(O)CC(OC3C(O)CC(OC4CCC5(C)C(CCC6C5CCC7(C)C(C(O)CC67O)C8=CC(=O)OC8)C4)OC3C)OC2C"
"95170","NC(=O)c1ccc(cc1)c2c3ccccc3cc4c2ccc5ccccc45"
"95381","CC1Oc2cc(OC(=O)C)ccc2C=C1c3ccc(OC(=O)C)cc3"
"95382","CCC1(OC(=O)C)C(=O)OCC2=C1C=C3N(Cc4cc5ccccc5nc34)C2=O"
"95397","OCCSC1=C(SCCO)C(=O)c2ccccc2C1=O"
"95434","O=Cc1cn(Cc2ccccc2)c3ccccc13"
"95441","C[C@@H]1CC[C@H](CC1)NC(=O)N(CCCl)N=O"
"95448","[N-]=[N+]=C1N=CN=C1c2nc[nH]n2"
"95466","ClCCN(N=O)C(=O)NC1CCC(=O)NC1=O"
"95570","O=C(CCN1CC2CCC(CC2)C1)c3cccs3"
"95580","CC(=O)NCCCCCCNC(=O)C"
"95609","O=C1CNCCCN2CCN(CCCNCC(=O)Nc3ccc(cc3)S(=O)(=O)c4ccc(NC(=O)CNCCCN5CCN(CCCNCC(=O)Nc6ccc(cc6)S(=O)(=O)c7ccc(N1)cc7)CC5)cc4)CC2"
"95676","CC1CCCC2(CC[N+](C)(CCC[N+](C)(C)C)CC2)C1"
"95678","NC(=S)N\N=C\c1ncccc1O"
"95779","Cc1ccc(cc1)S(=O)(=O)Oc2ccccc2c3ccccc3"
"96019","CC1CCC2C(C)C3C(CC4C5CC=C6CC(CCC6(C)C5CCC34C)OC7OC(CO)C(O)C(OC8OC(CO)C(O)C(O)C8O)C7OC9OC(C)C(O)C(O)C9O)N2C1"
"96349","COc1cc2cc[n+]3c(C)c4cc(OC)c(OC)cc4cc3c2cc1OC"
"96517","C[N+]1(C=C(SC1=S)c2ccccc2)c3ccccc3"
"96541","O=C(N1C(C=Cc2c1ccc3ccccc23)C#N)c4ccccc4"
"96641","Cc1nc(NC(=N)N)nc2ccc3ccccc3c12"
"96694","NCCSC(c1ccccc1)c2ccccc2"
"96704","NCCSC(c1ccccc1)(c2ccccc2)c3ccccc3"
"96914","Fc1c(F)c(F)c(C(=O)c2c(F)c(F)c(F)c(F)c2F)c(F)c1F"
"96932","CCN1\C(=C\C(=C\c2sc3ccccc3[n+]2CC)\C)\Sc4ccccc14"
"96996","Cc1ccccc1N2C(=Nc3ccccc3C2=O)\C=C\c4ccccn4"
"97338","COc1ccc2C[C@@H]3N(C)CCc4cc(OC)c(OC)c(Oc5cc6[C@@H](Cc7ccc(Oc1c2)cc7)N(C)CCc6cc5OC)c34"
"97345","OC(=O)C[N+]12CC[N+]3(CC(=O)O)CC(=O)O[Hg]13OC(=O)C2"
"97371","Cc1ccc(cc1)P(c2ccc(C)cc2)c3ccc(C)cc3"
"97372","CCCCCCCCCCCCCCCCCC[S+](C)CC"
"97374","CCN1\C(=C\c2ccc3ccccc3[n+]2CC)\C=Cc4ccccc14"
"97388","[Ag+].OC(=O)c1ccccc1"
"97419","CCCCCCCCOC(=O)c1cc(O)c(O)c(O)c1"
"97845","CC(=C)COc1ccc2C3CCC4(C)C(C\C(=N/O)\C4=O)C3CCc2c1"
"97882","COc1ccc(C[N+](C)(C)N)cc1OC"
"97885","C\C(=N/[N+](C)(C)C)\c1ccc(C)c(C)c1"
"97960","CC1=CC(=O)N\C(=N\N=C\c2cc(Br)ccc2O)\N1"
"97967","CC1=CC(=O)N\C(=N\N=C\c2ccccc2O)\N1"
"98363","CCOC(=O)\C(=C\1/SS\C(=C(\C#N)/C(=O)OCC)\S1)\C#N"
"98481","N#CC1(C#N)C2(CCCCCC2)C1(C#N)C#N"
"98535","Nc1nc(N)c2nc(CNc3ccc(cc3)C(=O)NC(CC(=O)O)C(=O)O)cnc2n1"
"98572","Oc1ccc(\C=N\N=C/2\NC=CC=C2)c(O)c1"
"98573","Oc1ccc2ccccc2c1\C=N\N=C\3/NC=CC=C3"
"98579","CN(Cc1cnc2nc(N)nc(N)c2n1)c3c(Cl)cc(cc3Br)C(=O)NC(CCC(=O)O)C(=O)O"
"98580","CN(Cc1cnc2nc(N)nc(N)c2n1)c3ccc(cc3Br)C(=O)NC(CCC(=O)O)C(=O)O"
"98710","Nc1nc(N)c(N=Nc2ccccc2)c(n1)c3ccccc3"
"98828","CC(=O)CSCc1ccccn1"
"98883","Cc1c[n+]2c3ccccc3c4ccccc4c2s1"
"98892","Cc1cc(SCC(=O)c2ccccc2)nc3ccccc13"
"98904","c1ccc(cc1)c2csc3c4ccccc4c5ccccc5[n+]23"
"98905","O=C(CSc1nc2ccccc2c3ccccc13)c4ccccc4"
"98923","O=C(NNC(=S)Nc1ccccc1)c2ccccn2"
"98938","COc1ccccc1\C=C\C(=O)\C=C\c2ccccc2O"
"99016","CN1CCC23C4Nc5ccccc5C2(CCN4C)C1Nc6ccccc36"
"99027","BrCc1ccc2C=CC(=O)Oc2c1"
"99060","BrP(NC1CCCCCC1)(c2ccccc2)(c3ccccc3)c4ccccc4"
"99087","CCOC(=O)C(CO)C1=NC2=C(NC1=O)C(=O)N(C)C(=O)N2C"
"99148","O=[Sn](C1CCCCC1)C2CCCCC2"
"99282","COC1C(C)OC(CC1(C)[N+](=O)[O-])Oc2cc(nc(C(=O)OC3C(C)\C=C(/C)\C(=O)c4c(O)c(C)cc5C(=O)C6=C(OC(C)(CN6)C(=O)C3O)C(=O)c45)c2O)C(=O)NC7=C(O)c8ccc(OC)cc8OC7=O"
"99296","[Fe+2].[R]c1ccccc1.[R]c2ccccc2.C[N+](C)(C)C.[RH].[RH]"
"99300","CCCCc1cc(O)ccc1O"
"99303","Oc1ccc(O)c(Cc2ccccc2)c1"
"99310","CCCCCCCCc1cc(O)ccc1O"
"99445","NC1=NC(=O)N(C=C1)C2OC(COP(=O)(O)O)C(O)C2O"
"99515","N=C(c1ccc2ccccc2c1)c3ccccc3Cc4ccccc4"
"99543","Cc1cc(C)cc(c1)C(=N)c2ccccc2Cc3cccc4ccccc34"
"99671","CN1C(=O)N(C)c2nc(SCCN3C(=O)c4ccccc4C3=O)[nH]c2C1=S"
"99676","CN1C(=O)N(C)c2nc(SCCCc3ccccc3)[nH]c2C1=S"
"99733","CN1C(=O)N=C2NN=CN=C2C1=O"
"99843","Nc1ncnc2c1c(cn2C3OC(CO)C(O)C3O)C#N"
"100045","[R]OC1CC[C@@]2(C)[C@@H](CC[C@]3(C)[C@@H]2CC=C4[C@@H]5CC(C)(C)[C@@H](OC(=O)\C=C/C=C\C(C)CC)[C@H](OC(=O)C)[C@@]5(CC[C@@]34C)C(=O)O)C1(C)C"
"100046","CC(=C)C(=O)O[C@H]1CC2=C[C@@H](C[C@@]3(C)O[C@@H]3[C@H]4OC(=O)C(=C)[C@H]14)OC2=O"
"100058","COc1ccc2CN(C)CCC34C=CC(O)CC3Oc1c24"
"100071","Clc1cc(Cl)c(OCC#CI)cc1Cl"
"100279","CN(C)c1ncnc2c1ccn2C3OC(CO)C(O)C3O"
"100290","CC[C@]1(O)CC(OC2CC(C(O)C(C)O2)N(C)C)c3c(O)c4C(=O)c5c(O)cccc5C(=O)c4cc3[C@@H]1C(=O)OC"
"100434","C\C(=N/c1ccccc1)\C2=C(O)C(Cc3ccc(O)cc3)NC2=O"
"100445","C\C(=N/c1ccccc1)\C2=C(O)C(Cc3ccccc3)NC2=O"
"100723","NNc1ccccc1Cl"
"100737","Clc1ccc(cc1)C(=O)CSC#N"
"100770","Cc1cc(ccc1\C=N\c2ccc(cc2)c3csc(Cc4ccccc4)n3)N(CCCl)CCCl"
"100777","CC(=O)OCCC\C(=C\c1cc2ccccc2c3ccccc13)\[N+](=O)[O-]"
"100844",""
"100856","NC1=NC(=O)C(=C(N1)c2ccccc2)CCCOc3ccc(N)cc3"
"100880","CC[C@](O)(C(=O)O)C1=C(CO)C(=O)N2Cc3cc4ccccc4nc3C2=C1"
"101003","NNC1=CC=CC(=CC1=O)\C=C\c2ccccc2"
"101088","C[C@H]([C@H]1CC(=C(CO)C(=O)O1)C)[C@H]2CC[C@H]3[C@@H]4C[C@H]5O[C@]56[C@@H](O)C=CC(=O)[C@]6(C)[C@H]4CC[C@]23C"
"101319","COCCOC(C)\C(=N\NC(=S)N)\C=N\NC(=S)N"
"101489","COc1cc(ccc1\C=N\NC(=O)c2cccnc2)N(CCCl)CCCl"
"101490","ClCCN(CCCl)c1ccc(\C=N\NC(=O)c2cccnc2)c(Cl)c1"
"101492","OC(=O)c1ccccc1\N=C\c2ccc(cc2)N(CCCl)CCCl"
"101643","CC(C)(Cl)CCC1=C(Cl)C(=O)c2ccccc2C1=O"
"102004","CCC1=CC2CN3CCc4c([nH]c5ccccc45)C(C2)(C13)C(=O)OC"
"102049","COc1cc(OC)c2C(=O)C(=C(Oc2c1)c3ccc(OC)c(OC)c3)O"
"102051","COc1ccc(cc1OC)C2=C(O)C(=O)c3ccccc3O2"
"102057","COc1ccc2C(=O)C(=C(Oc2c1)c3ccc(OC)c(OC)c3)O"
"102064","O=C1OC2=C(C(=O)c3ccccc23)c4ccccc14"
"102067","CN1C(=O)c2ccccc2C3=C1c4ccccc4C3=O"
"102068","Nc1ccccc1N2C(=O)c3ccccc3C4=C2c5ccccc5C4=O"
"102225","O\N=C/1\C=C\C(=C(\C#N)/c2ccc(Cl)cc2)\C=C1Cl"
"102378","NC(=S)N\N=C\1/c2ccccc2c3c(F)c(F)c(F)c(F)c13"
"102622","C[C@H]1CN[C@@H]2[C@@H](C)[C@H]3[C@@H](C[C@H]4[C@@H]5CC[C@H]6C[C@@H](N)CC[C@]6(C)[C@H]5CC[C@]34C)O[C@@]2(O)C1"
"102627","CS(=O)(=O)OCCCNCCCOS(=O)(=O)C"
"102742","ClC1=C(Nc2ccc3cn[nH]c3c2)C(=O)c4ccccc4C1=O"
"102809","COC1=CC(=O)N(C1)C(=O)C2CSC(=N2)C(CO)NC(=O)c3csc(\C=N\O)n3"
"102810","O=CC(OC(=O)c1ccccc1)C(OC(=O)c2ccccc2)C(COC(c3ccccc3)(c4ccccc4)c5ccccc5)OC(=O)c6ccccc6"
"102811","Nc1ncnc2c(n[nH]c12)C3OC(CO)C(O)C3O"
"102813","CCC1CC(O)c2c(O)c3C(=O)c4c(O)cccc4C(=O)c3c(O)c2C1O.CC5OC(O)CCC5O.CC6OC(O)CC(C6O)N(C)C"
"102814","OC(COC(c1ccccc1)(c2ccccc2)c3ccccc3)C(O)CC4SCCS4"
"102815","CO[C@H]1C[C@@](C)(O)[C@H](C(=O)OC)c2cc3C(=O)c4c5O[C@H]6O[C@@](C)([C@H](O)[C@H]([C@@H]6O)N(C)C)c5cc(O)c4C(=O)c3c(O)c12"
"102816","NC1=NC(=O)N(C=N1)C2OC(CO)C(O)C2O"
"102817","CC(=CC(=O)O[C@H]1CC2=C[C@@H](C[C@@]3(C)O[C@H]3[C@H]4OC(=O)C(=C)[C@H]14)OC2=O)C"
"102866","CN1C(=O)C23CC4=CC=CC(O)C4N2C(=O)C1(CO)SS3"
"103005","CN1c2ccccc2C(=O)c3c(O)cc4OC(C)(C)C=Cc4c13"
"103073","CCOc1cc(\C=N\N=C/2\NN=C(C)N2N)c(C)cc1N(CCCl)CCCl"
"103231","[O-][N+](=O)c1cc(ccc1Cl)S(=O)(=O)Oc2ccccc2"
"103336","OC1=C(CCCCCCCCC2CCCCC2)C(=O)c3ccccc3C1=O"
"103508","ClCCN(CCCl)c1ccc(CNCCCNCc2ccc(cc2)N(CCCl)CCCl)cc1"
"103517","Brc1cc2OCOc2cc1\C=C/3\C(=O)Nc4ccc5OCOc5c34"
"103704","OC1CC(OC1C(=O)O)N2C=C(F)C(=O)NC2=O"
"103752","NC(=S)N\N=C\C(=O)O"
"103755","COC1C=CC2=C3Cc4cc5OCOc5cc4C3[N+](=CC2=C1OC)C.O[N+](=O)O"
"103779","CN(C)c1ccc2nc3c(cc(O)c(O)c3[o+]c2c1)C(=O)O"
"103832","Oc1cccc(\C=N\N=C/2\NN\C(=N\N=C\c3cccc(O)c3)\c4ccccc24)c1"
"103870","O=C(C1C(C(N(C1c2ccccc2)c3ccccc3)c4ccccc4)C(=O)c5ccccc5)c6ccccc6"
"104129","CC1(C)N=C(N)N=C(N)N1c2ccc(CCCCc3ccc(Cl)cc3Cl)cc2"
"104133","Nc1nc(N)c(c(\C=C\c2ccc(cc2)[N+](=O)[O-])n1)c3ccc(Cl)cc3"
"104795","CC1(CCC23COC4(CCC5C6(C)CCC(OC7OCC(OC8OC(CO)C(O)C(OC9OC(CO)C(O)C(O)C9O)C8OC%10OCC(O)C(O)C%10O)C(O)C7OC%11OC(CO)C(O)C(O)C%11O)C(C)(C)C6CCC5(C)C4(C)CC2O)C3C1)C=O"
"104800","OC(CBr)C(O)C(O)C(O)CBr"
"104801","COc1ccc(cc1)C(=O)\C(=C\C(=O)O)\Br"
"104942","C\C=C(\C)/C(=O)OC1CC2(CO2)C3C(O)C=C(C)C3(O)C4OC(=O)C(=C)C14"
"104943","C\C=C(\C)/C(=O)O[C@@H]1C[C@]2(CO2)[C@@H]3[C@H](OC(=O)C)C=C(C)[C@]3(O)[C@H]4OC(=O)C(=C)[C@H]14"
"104960","CCOc1cccnc1\C=N\NC(=S)N"
"105014","Nc1nc(Cl)nc2c1ncn2C3CC(O)C(CO)O3"
"105023",""
"105024",""
"105131","COc1cc2CCN(C)C3Cc4ccc(Oc5cc(CC6N(C)CCc7cc(OC)c(OC)c(Oc1cc23)c67)ccc5O)cc4"
"105132","CCC1C(=O)OCC2=C1C=C3N(Cc4cc5ccccc5nc34)C2=O"
"105307","COc1cc(\C=C\[N+](=O)[O-])c(cc1OC)[N+](=O)[O-]"
"105348","COc1cc(Cl)c(CC(=O)c2c[nH]c3ccccc23)cc1OC"
"105444","N#CC1(CCCC1)Nc2ccc(cc2)c3ccc(NC4(CCCC4)C#N)cc3"
"105509","Brc1ccc2OC(=O)CCc2c1"
"105546","CC(=CCNc1ncnc2c1ncn2C3OC(CO)C(O)C3O)C"
"105550","[O-][N+](=O)c1cccc2C(=O)N(C(=O)c12)c3nc[nH]n3"
"105808","NC1=C(Br)C(=O)c2ncccc2C1=O"
"105827","NC(=S)c1cn(C2OC(CO)C(O)C2O)c3ncnc(N)c13"
"105900","OC(=O)CCC(=O)c1ccc2sc3ccccc3c2c1"
"106139","Oc1ccc(Cl)cc1\C=N\NC(=O)CCCC(=O)N\N=C\c2cc(Cl)ccc2O"
"106193","COc1cc(O)c2C(=O)C3=C(CC(C)(O)OC3)C(=O)c2c1O"
"106246","Cn1cc(\C=C/[N+](=O)[O-])c2ccccc12"
"106360","CC(=O)Nc1c(Br)cc2c(Cc3cc(Br)ccc23)c1Br"
"106399","CC(=O)OC(C)(C)\C=C\C(=O)[C@](C)(O)[C@H]1[C@H](O)C[C@@]2(C)[C@@H]3CC=C4[C@@H](C=C(O)C(=O)C4(C)C)[C@]3(C)C(=O)C[C@]12C"
"106408","CO[C@H]1Nc2c(O)c(C)ccc2C(=O)N3C=C(C[C@@H]13)\C=C\C(=O)N"
"106442","CC1COCC(C)N1C2=C(Cl)C(=O)c3ccccc3C2=O"
"106445","ClC1=C(N\N=C/2\NN\C(=N\NC3=C(Cl)C(=O)c4ccccc4C3=O)\c5ccccc25)C(=O)c6ccccc6C1=O"
"106461","c1ccc(nc1)c2nnc(s2)c3ccccn3"
"106486","OCC1OC(C(O)C1O)c2n[nH]c3C(=O)N=CNc23"
"106531","ClCCN(N=O)C(=O)Nc1ccc(Cl)c(Cl)c1"
"106553","CC1OC(OC2C(O)C(O)COC2OC3CCC4(C)C(CCC5(C)C4CC=C6C7CC(C)(C)CCC7(CCC56C)C(=O)O)C3(C)CO)C(O)C(O)C1O"
"106554","CC1(C)CCC2(C(O)CC3(C)C(=CCC4C5(C)CCC(OC6OCC(O)C(O)C6OC7OCC(O)C(O)C7OC8OCC(O)C(OC9OC(CO)C(O)C(O)C9O)C8O)C(C)(C)C5CCC34C)C2C1)C(=O)O"
"106557",""
"106640","[O-][N+](=O)c1cccc([I+]c2ccccc2)c1"
"106648","COc1ccc(cc1[I+]c2cc(ccc2OC)[N+](=O)[O-])[N+](=O)[O-]"
"106677","C\C=C/1\C[C@@H](C)[C@@](C)(O)C(=O)OCC2=CC[N+]3([O-])CC[C@@H](OC1=O)[C@@H]23"
"106723","Oc1ccccc1\C=N\NC(=O)C(O)(c2ccccc2)c3ccccc3"
"106859","CC(=O)OCCC\C(=C/c1ccc2ccccc2c1)\[N+](=O)[O-]"
"106907","BrCCN(CCBr)C(=O)Nc1cccc2ccccc12"
"106909","C[C@]12CC[C@H]3[C@@H](CCc4cc(Oc5nc(nc(n5)N6CC6)N7CC7)ccc34)[C@@H]1CCC2=O"
"106969","COC1=C(Oc2cc(O)c(OC)c(O)c2C1=O)c3ccc(OC)c(O)c3"
"106995","COC(=O)c1ccc(O)c2nc3c(C=O)c(O)cc(O)c3nc12"
"107043","COc1ccc(NC2=CC(=O)C(=O)c3ccccc23)nn1"
"107067","C[C@H](\C=C(/C)\C=C\C(=C/1\C(=O)CNC1=O)\O)[C@H]2O[C@@]3(C)O[C@@H]([C@@H]2C)C(=O)[C@@H]4O[C@]34C"
"107124","CC[C@@]1(O)C(=O)OCC2=C1C=C3N(Cc4cc5cc(O)ccc5nc34)C2=O"
"107129","CC12CCC(O)CC1CCC3C4CCC(C5=CC(=O)OC5)C4(C)CCC23"
"107237","Clc1ccc2Sc3ccccc3N(C4CCCN(Cc5ccccc5)C4)c2c1"
"107392","NC(=S)N\N=C\c1ccc(O)cn1"
"107413","O=C1OC23CC(C=CC2=C1)N4CCCCC34"
"107432","COc1ccccc1N2CCN(CCc3c[nH]c4cc5OCOc5cc34)CC2"
"107512","Nc1ncnc2c1c(cn2C3OC(CO)C(O)C3O)C(=N)NO"
"107529","Nc1ccc(cc1)C(=C2C=CC(=N)C=C2)c3ccc(N)cc3.OC(=O)c4cc5ccccc5c(Cc6c(O)c(cc7ccccc67)C(=O)O)c4O"
"107658","C[C@@H]1CCC[C@@H](O)\C=C\C(=O)O[C@]23[C@@H](\C=C\C1)[C@H](O)C(=C)[C@@H](C)[C@H]2[C@H](Cc4ccccc4)NC3=O"
"107660","[R]C(=O)NC1C(C)OC(=O)C(C(C)C)N(C)C(=O)CN(C)C(=O)C2CCCN2C(=O)C(NC1=O)C(C)C.[R]C(=O)NC3C(C)OC(=O)C(C(C)C)N(C)C(=O)CN(C)C(=O)C4CCCCN4C(=O)C(NC3=O)C(C)C.CC5=C6Oc7c(C)cccc7N=C6C=C(N)C5=O"
"107680","CC1CC2C3CC(F)C4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)COC(=O)C(C)(C)C"
"107818","[O-][N+](=O)c1ccc(Cl)c(\C=N\OC(=O)Nc2ccc(Cl)c(Cl)c2)c1Cl"
"108018","CN1C2C(C(O)Cc3cc4OCOc4cc23)c5ccc6OCOc6c5C1=O"
"108165","CN(C)S(=O)(=O)c1ccc2Sc3ccccc3\C(=C/CCN4CCN(C)CC4)\c2c1"
"108225","CN(C)CCSS(=O)(=O)O"
"108608","NCC1OC(C(O)C1O)n2cnc3C(=O)NC(=Nc23)N"
"109072","CCCC[Sn]1(CCCC)OC(=O)c2cccc(c2C(=O)O1)[N+](=O)[O-]"
"109084","C(CN1CC1)Oc2ccc3ccccc3n2"
"109128","CC(=O)OC1CCC2(C)C(CCC3C4CC(C(C(=O)C)C4(C)C(=O)CC23)N5CC5)C1"
"109131","CSc1ncnc2c1ncn2CC(=O)C3CCC4C5CCC6=CC(=O)CCC6(C)C5CCC34C"
"109154","O=C(\C(=C/c1ccccc1)\CN2CCCCC2)c3ccccc3"
"109155","CC(C)(C)NC(C(=C)C(=O)c1ccccc1)c2ccccc2"
"109156","CC(C)(C)NC\C(=C/c1ccccc1)\C(=O)c2ccccc2"
"109188","Nc1ccc(cc1)C(=O)O.Nc2nc(N)c3[nH]cnc3n2.OS(=O)(=O)O"
"109229",""
"109248","CC(=O)c1ccc(O)c(CN(C2CCCCC2)C3CCCCC3)c1O"
"109254","CC(C)(C)CC(C)(C)N(CSc1ccc(Cl)cc1)CSc2ccc(Cl)cc2"
"109292","CC#CC#CC1=CC=CC(=O)O1"
"109351","COc1cccc2C(=O)c3c(O)c4CC(O)(CC(O)c4c(O)c3C(=O)c12)C(=O)C"
"109440","CC1(C)C[C@H]2C3=CC[C@@H]4[C@@]5(C)CC[C@H](O)[C@@](C)(CO)[C@@H]5CC[C@@]4(C)[C@]3(C)C[C@@H](O)[C@@]2(CO)[C@@H](O)[C@@H]1O"
"109451","Cc1cc(Cl)nc2ccc(Cc3ccc4nc(Cl)cc(C)c4c3)cc12"
"109509","CC(NCCN(C)C)C1CCC2C3CCc4cc(O)ccc4C3CCC12C"
"109555","C\C(=N\NC(=N)N)\c1ccc(NC(=O)Nc2ccc(cc2)\C(=N\NC(=N)N)\C)cc1"
"109593","O=C1Oc2cc(ccc2c3ccccc13)\N=C\c4ccc5OCOc5c4"
"109724","ClCCNP1(=O)OCCCN1CCCl"
"109825","NC1(CSSC1)C(=O)O"
"109834","CC1(C)N=C(N)N=C(N)N1c2cccc(OCc3cccc(N)c3)c2"
"109836","CC1(C)N=C(N)N=C(N)N1c2cccc(OCc3cccc(c3)[N+](=O)[O-])c2"
"109838","CC1(C)N=C(N)N=C(N)N1c2cccc(\C=C\C=C\c3cccc(c3)[N+](=O)[O-])c2"
"109874","COC(=O)Nc1nc2ccccc2[nH]1"
"110101","CCCCCCCCCCCCSC1=CC(=O)C=CC1=O"
"110275","Cc1nc(N)nc2ccccc12"
"110363","Clc1ccc(C[P+](c2ccccc2)(c3ccccc3)c4ccccc4)c(Cl)c1"
"110383","Cc1cc2c3ccccc3ccc2[n+]4ccccc14"
"110407","COc1ccc(cc1)\C(=C(/c2ccccc2)\[N+](=O)[O-])\c3ccc(OCCN4CCCC4)cc3"
"110602","C=C=C[P+](c1ccccc1)(c2ccccc2)c3ccccc3"
"110609","C=CC[P+](c1ccccc1)(c2ccccc2)c3ccccc3"
"110630","CCCCC(=O)N\N=C\c1c(O)ccc2ccccc12"
"110800","ClCCN(N=O)C(=O)NC1CCSc2ccccc12"
"111041","NC1=CC(=N)C2=C(NC(=O)C=C2)C1=O"
"111062","CC1(C)N=C(N)N=C(N)N1c2cccc(OCCOc3cccc(c3)[N+](=O)[O-])c2"
"111118","Clc1ccc(SC(=S)Sc2ccc(Cl)cc2)cc1"
"111119","CCOC(=O)C1=Cc2c(OC)cc(OC)cc2OC1=O"
"111135","CCN(CC)c1ccc(\N=C/2\C=C(C(=O)Nc3ccc(cc3)S(=O)(=O)C)C(=O)c4ccccc24)c(C)c1"
"111180","CC(=O)NC(CS)C(=O)O"
"111533","CC[C@@]1(O)C(=O)OCC2=C1C=C3N(Cc4cc5cc(OC)ccc5nc34)C2=O"
"111556","[O-][N+](=O)\C=C\c1ccc2ccccc2c1"
"111580","O=C1Nc2ccccc2/C/1=N/N=C\3/NC=CC=C3"
"111581","[O-][N+](=O)c1ccccc1N\N=C\2/C(=O)Nc3ccccc23"
"111650","Nc1ccc(cc1)S(=O)(=O)C23CC4CC(CC(C4)C2)C3"
"111654","Nc1ccc(SC23CC4CC(CC(C4)C2)C3)cc1"
"111702","CSc1ncnc2c1ncn2C3OC(CO)C(O)OC3O"
"112125","c1ccc(nc1)c2nc(nc(n2)c3ccccn3)c4ccccn4"
"112147","CC(=O)OC1CCC2(C)C3CCC4(C)C(CC(CN5CC5)C4=O)C3CC=C2C1"
"112152","COC(=O)C1=CO[C@@H]2O[C@H]3\C(=C/C)\C(=O)O[C@]34C=C[C@H]1[C@H]24"
"112166","CC(C)(O)C(O)CC(=O)C(C)(O)C1C(O)CC2(C)C3CC=C4C(C=C(O)C(=O)C4(C)C)C3(C)C(=O)CC12C"
"112167","CC(C)(O)\C=C\C(=O)[C@](C)(O)[C@H]1[C@H](O)C[C@@]2(C)[C@@H]3CC=C4[C@@H](C=C(O)C(=O)C4(C)C)[C@]3(C)C(=O)C[C@]12C"
"112200","CC1=C(Br)C(=O)C(=C(Br)C1=O)C.Cc2c(O)c(Br)c(C)c(O)c2Br"
"112257","[Na+].Cc1cc(cc(C(=O)O)c1O)C2(OS(=O)(=O)c3ccccc23)c4cc(C)c(O)c(c4)C(=O)O"
"112535","CC1(C)N=C(N)N=C(N)N1c2cccc(OCCOc3ccc(cc3)[N+](=O)[O-])c2"
"112751","Oc1ccc(Cl)cc1\C=N\c2cnc3ccccc3c2"
"112758","COc1cccc2C(=O)c3c(O)c4CC(O)(CC(OC5CC(N)C(O)C(C)O5)c4c(O)c3C(=O)c12)C(=O)C"
"112796","C(OC1NCCN1Cc2ccccc2)c3ccccc3"
"112846","Nc1nc(N)c2cc(CNc3ccc(cc3)C(=O)NC(CC(=O)O)C(=O)O)ccc2n1"
"112849","NC(=N)Nc1ccc(\C=C/2\C=Cc3ccccc23)cc1"
"112929","OCC1OC(Oc2cccc3C(C4c5cccc(OC6OC(CO)C(O)C(O)C6O)c5C(=O)c7c(O)cc(cc47)C(=O)O)c8cc(cc(O)c8C(=O)c23)C(=O)O)C(O)C(O)C1O"
