"","PUBCHEM_ID"
"18758",227281
"18804",3611
"18805",NA
"18877",227331
"18880",227334
"18883",227337
"18891",227345
"18894",NA
"19048",NA
"19139",227530
"19147",NA
"19441",95122
"19502",NA
"19509",NA
"19630",227681
"19637",NA
"19639",18156
"19645",5955
"19646",NA
"19727",227746
"19728",9555790
"19760",227754
"19781",90481
"19802",5281691
"19893",NA
"19912",92765
"19942",227830
"19976",227840
"19987",6741
"19990",NA
"20000",NA
"20200",NA
"20207",NA
"20256",NA
"20514",227994
"20527",NA
"20534",NA
"20535",NA
"20644",33144
"20909",NA
"21061",24693
"21075",NA
"21206",9500
"21276",NA
"21356",228424
"21434",228480
"21518",228534
"21531",NA
"21545",18064
"21548",NA
"21588",228569
"21622",5922444
"21662",228612
"21666",228615
"21669",NA
"21681",228622
"21683",228624
"21702",NA
"21715",228635
"21728",5351497
"21914",2336
"21970",1674
"22070",NA
"22201",110719
"22225",5351702
"22227",NA
"22348",229013
"22600",NA
"22709",135410720
"22842",5281707
"22945",80565
"22984",NA
"22994",24183021
"23159",229453
"23162",NA
"23173",229459
"23297",229543
"23345",9552058
"23416",5716814
"23418",54603596
"23477",5355002
"23615",NA
"23676",NA
"23759",NA
"23766",NA
"23833",229831
"23856",697963
"23863",NA
"23904",NA
"23925",NA
"23936",6369925
"23994",5355031
"24030",229938
"24037",5351711
"24047",NA
"24076",NA
"24113",229969
"24189",1549990
"24500",NA
"24559",NA
"24692",230132
"24799",NA
"24817",NA
"24818",NA
"24819",NA
"24871",230232
"24913",81664
"25028",72908
"25154",NA
"25434",NA
"25454",230510
"25463",NA
"25485",NA
"25703",230621
"25818",66796
"25830",230690
"25846",230706
"25861",5351722
"26037",5929908
"26040",5351150
"26045",80771
"26074",230791
"26081",NA
"26113",5860626
"26258",NA
"26271",NA
"26273",95263
"26427",230978
"26540",231054
"26647",NA
"26692",231112
"26697",231115
"26821",NA
"26933",231205
"26980",5746
"27034",410191
"27102",NA
"27103",NA
"27445",NA
"27515",138417
"27604",135431336
"27607",135431337
"27640",NA
"28002",5351151
"28081",231626
"28365",231714
"28408",5351731
"28430",NA
"28527",231799
"28566",NA
"28567",NA
"28568",NA
"28569",NA
"28608",3652630
"29013",232011
"29018",232016
"29117",5355215
"29182",232136
"29228",16590
"29422",NA
"29424",517841
"29443",16683643
"29459",24183684
"29603",NA
"29604",24183689
"29606",54601764
"29630",NA
"29638",232328
"29865",135431368
"30033",23681
"30083",NA
"30198",NA
"30417",NA
"30637",24183838
"30652",79775
"30656",71045
"30659",NA
"30706",95715
"30712",232780
"30722",232789
"30799",232835
"30813",232850
"30863",22658
"30915",16683646
"30916",16683647
"30930",NA
"30979",95723
"31059",1416279
"31660",16682749
"31692",NA
"31703",5774635
"31709",54605545
"31711",NA
"31717",95735
"31760",NA
"31768",54599828
"31777",54605565
"31778",NA
"31779",NA
"31780",6540442
"31782",54602338
"31812",NA
"31815",NA
"31869",68486
"31882",5352001
"32065",NA
"32149",NA
"32190",NA
"32212",NA
"32516",233642
"32569",233683
"32743",NA
"32924",24184082
"32927",NA
"32930",24184086
"32937",NA
"32942",31202
"32944",NA
"32946",NA
"32951",NA
"32967",54608353
"32982",NA
"32992",NA
"33001",9878
"33006",233871
"33052",233907
"33092",233937
"33202",3551195
"33353",NA
"33408",NA
"33410",46151
"33413",NA
"33418",54603357
"33419",NA
"33423",NA
"33434",24184168
"33458",54602200
"33467",NA
"33530",95759
"33548",91378
"33553",NA
"33556",54598857
"33560",54599888
"33566",54609218
"33568",89341
"33570",6184372
"33574",24184220
"33577",24184222
"33669",NA
"33690",NA
"33759",NA
"33762",135538347
"33765",21123220
"33832",NA
"34046",NA
"34060",54609242
"34391",NA
"34444",234474
"34462",6194
"34475",234498
"34521",NA
"34533",NA
"34541",234533
"34656",234566
"34661",9285
"34749",NA
"34757",68060
"34780",135460716
"34821",NA
"34864",234636
"34924",NA
"34927",24184591
"34931",135488929
"34949",234660
"35027",NA
"35049",NA
"35123",15690
"35400",234810
"35427",411628
"35441",21144180
"35446",NA
"35450",5351745
"35468",234820
"35471",NA
"35479",54602203
"35489",5351160
"35542",66548
"35563",NA
"35580",234858
"35587",234864
"35617",54601070
"35676",NA
"35683",16683655
"35729",234897
"35753",NA
"35767",76767
"35770",NA
"35790",NA
"35855",NA
"35915",234991
"35949",235012
"35950",235013
"36333",NA
"36338",17671
"36354",NA
"36359",NA
"36369",5351749
"36373",NA
"36390",NA
"36405",72311
"36407",72435
"36408",NA
"36413",NA
"36437",NA
"36525",235292
"36731",7215
"36755",NA
"36758",NA
"36768",165441
"36806",235431
"37168",67277
"37186",235600
"37187",67275
"37202",67241
"37248",NA
"37249",NA
"37261",NA
"37364",65275
"37379",NA
"37388",95806
"37432",NA
"37433",NA
"37518",NA
"37600",NA
"37608",75160
"37627",6699
"37641",235856
"37815",235925
"37876",NA
"37888",NA
"37889",NA
"37895",NA
"37896",NA
"37898",NA
"37900",NA
"37901",NA
"37943",9561248
"38007",236003
"38086",236063
"38087",81400
"38090",236065
"38186",16683657
"38270",NA
"38525",NA
"38530",373400
"38534",NA
"38535",NA
"38643",NA
"38663",54605559
"38684",5351757
"38721",NA
"38732",3246138
"38733",3246139
"38737",3246141
"38743",236331
"38777",236350
"38887",3379405
"39084",NA
"39135",236554
"39147",91467
"39199",236584
"39202",236587
"39215",NA
"39277",236633
"39310",21144197
"39351",236655
"39356",NA
"39367",236667
"39368",NA
"39575",NA
"39661",NA
"39688",213535
"39779",NA
"39789",54605179
"39792",NA
"39803",5712119
"39851",NA
"39863",236853
"39969",236923
"40273",237061
"40341",237101
"40342",237102
"40593",237259
"40618",NA
"40665",NA
"40693",412646
"40787",237371
"40837",80247
"41140",NA
"41373",78277
"41390",237683
"41566",91516
"41567",237765
"41658",22753
"41805",5338
"41880",NA
"41890",80530
"42044",NA
"42070",4268411
"42076",NA
"42138",NA
"42258",NA
"42352",3032930
"42369",135538372
"42371",NA
"42384",238161
"42405",238166
"42428",135538374
"42656",238327
"42679",238347
"42695",238363
"42797",238450
"42808",238460
"42824",238475
"42856",NA
"42972",238545
"43101",238637
"43223",NA
"43308",238775
"43321",NA
"43333",238795
"43339",NA
"43409",4581572
"43413",238855
"43486",NA
"43534",238930
"43567",238946
"43578",5355695
"43628",475701
"43675",NA
"43684",24185840
"43959",15581
"44102",239211
"44185",NA
"44230",239304
"44303",215727
