,HCC44_LUNG,OACP4C_OESOPHAGUS
GO:0007040,0.47552,0.47552
GO:0007041,0.46411,0.086835
GO:0007043,-0.54516,-0.54516
GO:0007044,0.46343,0.44332
GO:0007050,0.40222,0.26122
GO:0007051,0.6909,0.74029
GO:0007059,0.49257,0.4863
GO:0007088,0.36436,-0.048582
GO:0007098,-0.47203,-0.47203
GO:0007127,0.42752,0.42752
GO:0007155,-0.79191,-1.3108
GO:0007157,0.48541,0.4373
GO:0007160,0.43467,0.77705
GO:0007165,-0.36759,-0.30988
GO:0007166,-0.12907,-0.051389
GO:0007167,0.69543,0.74364
GO:0007169,0.049884,0.21983
GO:0007173,0.37041,0.37041
GO:0007179,-0.80236,-0.74027
GO:0007186,-0.48997,0.218
GO:0007188,0.43473,0.2195
GO:0007189,-0.46353,-0.46353
GO:0007190,-0.55733,-0.55733
GO:0007193,0.83666,0.56284
GO:0007194,-0.54485,-0.44447
GO:0007200,0.085039,0.13277
GO:0007202,-0.46098,-0.46098
GO:0007204,0.54616,-0.010235
GO:0007205,0.6508,0.6508
GO:0007212,-0.36716,-0.55591
GO:0007213,-0.46557,-0.46557
GO:0007218,0.60053,0.81992
GO:0007219,0.72916,1.5657
GO:0007223,0.41709,0.84198
GO:0007224,0.49352,0.49352
GO:0007229,-0.46143,-1.1473
GO:0007249,-0.41874,-0.41874
GO:0007257,0.51331,0.51331
GO:0007259,-0.72138,-0.72138
GO:0007265,0.50755,0.46546
GO:0007266,0.39677,0.39677
GO:0007267,0.28656,0.65809
GO:0007268,-0.27876,-0.17494
GO:0007269,0.47833,0.54161
GO:0007271,0.52789,0.44945
GO:0007274,0.54793,0.54793
GO:0007276,0.14222,0.67758
GO:0007283,-0.6623,-0.65261
GO:0007286,-0.3397,-0.3397
GO:0007338,0.69557,0.69557
GO:0007346,-0.51949,-0.19186
GO:0007368,-0.8574,-0.62053
GO:0007369,1.3607,2.0013
GO:0007389,-0.17886,-0.20662
GO:0007399,-0.059449,0.28792
GO:0007411,-0.10018,0.54366
GO:0007416,0.67691,0.38075
GO:0007417,0.013045,0.61379
GO:0007420,0.027607,-0.081095
GO:0007422,-0.44817,-0.54675
GO:0007423,0.49686,0.62941
GO:0007435,-0.58274,-0.58274
GO:0007498,-0.25101,-0.60214
GO:0007507,-0.37096,-0.72934
GO:0007517,-0.33235,-0.20102
GO:0007519,0.36749,0.45317
GO:0007528,-0.44674,-0.87868
GO:0007548,-0.3825,-0.26964
GO:0007565,-1.041,-0.39137
GO:0007566,0.61726,0.61726
GO:0007568,0.070679,0.49078
GO:0007584,0.44424,0.68594
GO:0007585,0.43622,0.43622
GO:0007586,-0.38606,-0.3153
GO:0007588,0.57142,0.57142
GO:0007595,0.62494,0.93092
GO:0007596,-0.94074,0.55199
GO:0007600,0.13412,0.13176
GO:0007601,-0.25477,0.12392
GO:0007605,-0.305,-0.305
GO:0007610,-0.14469,-0.41146
GO:0007611,0.015565,-0.084646
GO:0007612,0.38722,-0.10607
GO:0007613,-0.55472,-0.37875
GO:0007616,0.46242,0.46242
GO:0007617,0.55119,0.55119
GO:0007623,-0.52485,-0.4577
GO:0007626,0.070267,-0.56151
GO:0007628,-0.42912,-0.42912
GO:0008015,0.10082,0.63659
GO:0008016,-1.1966,-1.2804
GO:0008033,-0.44128,-0.44128
GO:0008038,-0.43701,-0.43701
GO:0008064,0.41459,0.30949
GO:0008104,0.36605,0.35135
GO:0008150,-0.40638,0.50027
GO:0008202,-1.3999,-0.21155
GO:0008203,-0.87077,-1.1116
GO:0008206,0.65197,0.50464
GO:0008207,-0.70269,-0.70269
GO:0008209,0.32073,0.32073
GO:0008210,1.7106,0.27334
GO:0008211,-0.33965,-0.33965
GO:0008214,0.44083,0.44083
GO:0008217,-0.3903,-0.59301
GO:0008219,-0.19714,-0.14883
GO:0008277,0.4067,0.90911
GO:0008283,-1.1196,-1.1986
GO:0008284,0.61825,-0.30006
GO:0008285,0.39743,1.2815
GO:0008286,-0.47818,-0.47818
GO:0008347,0.55668,0.55668
GO:0008360,-0.57319,-0.40438
GO:0008361,-0.069168,0.30643
GO:0008542,-0.37506,-0.70604
GO:0008543,0.50953,0.50953
GO:0008584,0.62945,0.82142
GO:0008589,-0.38587,-0.37567
GO:0008610,-0.55523,-0.17652
GO:0008625,-0.42341,-0.42341
GO:0008637,-0.39879,-0.39879
GO:0009057,-0.67975,-0.10171
GO:0009060,0.45929,0.72825
GO:0009063,1.7243,0.22543
GO:0009065,0.74842,0.528
GO:0009066,0.66232,0.66232
GO:0009074,-0.50889,-0.50889
GO:0009117,-0.060322,0.32439
GO:0009119,-0.50228,-0.50228
GO:0009126,-0.43772,-0.43772
GO:0009130,-0.4809,-1.3608
GO:0009135,-0.67061,-0.60972
GO:0009142,0.56439,0.56439
GO:0009150,-0.022191,-0.56768
GO:0009152,-0.69962,-0.69962
GO:0009154,0.56729,0.56729
GO:0009162,0.43652,0.43652
GO:0009168,-0.4398,-0.4398
GO:0009179,-0.60413,-0.45968
GO:0009185,0.61782,0.41764
GO:0009205,-0.81495,-0.81495
GO:0009214,0.41569,0.41569
GO:0009218,0.64704,0.54347
GO:0009251,-0.65466,-0.65796
GO:0009260,-0.44766,-0.45034
GO:0009266,-0.86359,-1.352
GO:0009267,0.402,0.22521
GO:0009299,0.6508,0.6508
GO:0009309,0.43695,0.43695
GO:0009311,0.25337,0.39629
GO:0009314,0.67897,-0.32961
GO:0009394,0.73595,0.73595
