,0,1
174,GO:0042493,GO:0043278
175,GO:0042493,GO:0031000
176,GO:0042493,GO:0001975
177,GO:0042493,GO:0071731
178,GO:0010035,GO:0010038
179,GO:0010035,GO:0071731
180,GO:0022402,GO:0007050
181,GO:0022402,GO:0007051
182,GO:0022402,GO:0007098
183,GO:0022402,GO:0098813
184,GO:0022402,GO:1903047
185,GO:0022402,GO:0044772
186,GO:0022402,GO:0000086
187,GO:0022402,GO:0000082
188,GO:0016070,GO:0006396
189,GO:0016070,GO:0006401
190,GO:0016070,GO:0009451
191,GO:0016070,GO:0090501
192,GO:0016070,GO:0009299
193,GO:0016070,GO:0006367
194,GO:0016070,GO:0006366
195,GO:0016070,GO:0098781
196,GO:0016070,GO:0008033
197,GO:0016070,GO:0006418
198,GO:0006396,GO:0008033
199,GO:0006396,GO:0000398
200,GO:0016570,GO:0061647
201,GO:0016570,GO:0035404
202,GO:0016570,GO:0043966
203,GO:0016570,GO:0043967
204,GO:0016570,GO:0070932
205,GO:0016570,GO:0070076
206,GO:0016570,GO:0051568
207,GO:0045944,GO:0036003
208,GO:0045944,GO:1902895
209,GO:0051276,GO:0006325
210,GO:0051276,GO:0000723
211,GO:0051276,GO:0000070
212,GO:0051276,GO:0006323
213,GO:0051276,GO:0032508
214,GO:0006259,GO:0000723
215,GO:0006259,GO:0006281
216,GO:0006259,GO:0071897
217,GO:0006259,GO:0006306
218,GO:0006259,GO:0002562
219,GO:0060249,GO:0000723
220,GO:0060249,GO:0001894
221,GO:0060249,GO:0070050
222,GO:0019953,GO:0007276
223,GO:0019953,GO:0007338
224,GO:0019953,GO:0007617
225,GO:0044703,GO:0007565
226,GO:0044703,GO:0019953
227,GO:0003006,GO:0007548
228,GO:0003006,GO:0046697
229,GO:0003006,GO:0048608
230,GO:0003006,GO:0060669
231,GO:0009914,GO:0046879
232,GO:0048468,GO:0000904
233,GO:0048468,GO:0002064
234,GO:0048468,GO:0014031
235,GO:0048468,GO:0048469
236,GO:0048468,GO:0048666
237,GO:0048468,GO:0048864
238,GO:0048468,GO:0061515
239,GO:0048468,GO:0055013
240,GO:0048468,GO:0048747
241,GO:0000904,GO:0034446
242,GO:0000904,GO:0048667
